VADER_prob_pos,VADER_prob_neg,label
0.0,0.0,0.0
0.605,0.0,1.0
0.0,0.0,1.0
0.0,0.3,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.507,0.231,1.0
0.744,0.0,1.0
0.124,0.324,1.0
0.231,0.385,-1.0
0.463,0.0,1.0
0.0,0.0,1.0
0.245,0.247,0.0
0.592,0.0,-1.0
0.0,0.5,0.0
0.0,0.6,-1.0
0.518,0.0,1.0
0.663,0.0,1.0
0.737,0.0,1.0
0.0,0.0,0.0
0.244,0.252,1.0
0.0,1.0,-1.0
1.0,0.0,1.0
0.0,0.207,-1.0
1.0,0.0,1.0
0.227,0.361,-1.0
0.0,0.453,-1.0
0.659,0.0,-1.0
0.0,0.189,-1.0
0.0,0.0,0.0
0.714,0.0,1.0
0.0,0.0,-1.0
0.167,0.0,1.0
0.204,0.162,0.0
0.434,0.0,-1.0
0.333,0.4,-1.0
0.344,0.0,0.0
0.0,0.0,1.0
0.388,0.612,-1.0
0.539,0.0,0.0
0.855,0.0,1.0
0.0,0.369,-1.0
0.713,0.0,1.0
0.318,0.341,-1.0
0.0,0.0,1.0
0.6,0.0,1.0
0.0,0.0,-1.0
0.0,0.0,0.0
0.0,0.481,-1.0
0.0,0.6,-1.0
0.0,0.0,0.0
0.0,1.0,-1.0
0.429,0.0,1.0
0.366,0.268,-1.0
0.167,0.0,0.0
0.0,0.654,-1.0
0.0,0.0,0.0
0.515,0.0,-1.0
0.706,0.0,0.0
0.0,0.388,0.0
0.444,0.0,1.0
0.0,0.467,-1.0
0.11,0.297,-1.0
0.588,0.0,0.0
0.0,0.0,-1.0
0.231,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.263,0.0,1.0
0.0,0.0,0.0
0.506,0.0,1.0
0.583,0.0,1.0
0.186,0.174,1.0
0.0,0.5,-1.0
0.334,0.0,1.0
0.231,0.462,-1.0
0.677,0.0,1.0
0.317,0.0,0.0
0.469,0.0,1.0
0.0,0.253,1.0
0.0,0.404,-1.0
0.0,0.0,1.0
0.163,0.142,1.0
0.0,0.0,0.0
0.762,0.0,1.0
0.0,0.311,1.0
0.268,0.421,-1.0
0.344,0.285,1.0
0.744,0.0,1.0
1.0,0.0,1.0
0.412,0.0,1.0
0.0,0.355,-1.0
0.588,0.0,1.0
0.0,0.0,-1.0
0.0,0.0,1.0
0.215,0.104,-1.0
0.0,0.338,-1.0
0.264,0.276,-1.0
0.0,0.0,0.0
0.35,0.122,1.0
0.333,0.333,-1.0
1.0,0.0,1.0
0.0,0.0,-1.0
0.0,0.0,0.0
