model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,True,1.0,1,"(1, 1)",emoji_generic,stem,,gini,auto,1,5,0.7456408091190674,0.5810055865921787,0.7115987460815046,0.806804374240583,0.7451219512195122,0.6947253234437241,0.49696969696969695,0.6382978723404255,0.7672811059907834,0.6954838709677419
rf,word,True,0.25,1,"(1, 1)",emoji_generic,stem,balanced_subsample,gini,sqrt,1,5,0.7377477235744379,0.5643564356435643,0.7158908507223115,0.792638036809816,0.7353658536585366,0.7064597854503748,0.5767441860465116,0.6521739130434782,0.7623642943305188,0.7006451612903226
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,,entropy,sqrt,1,10,0.7374037885594489,0.5679012345679012,0.7174603174603176,0.7900943396226414,0.7402439024390244,0.6915059994375101,0.5029940119760479,0.6358381502890175,0.7615740740740742,0.6916129032258065
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,balanced,gini,auto,1,5,0.7369478454629059,0.5806451612903226,0.7089430894308943,0.7920792079207921,0.7329268292682927,0.6989457440620697,0.5253456221198157,0.6506986027944112,0.7620192307692308,0.6929032258064516
rf,word,True,0.25,1,"(1, 1)",emoji_generic,stem,,entropy,sqrt,1,10,0.7357299940002787,0.5714285714285715,0.7094703049759229,0.7915194346289753,0.7378048780487805,0.7022614849779535,0.5142857142857142,0.6423076923076924,0.7742690058479531,0.7006451612903226
rf,word,True,0.5,1,"(1, 1)",emoji_generic,stem,balanced_subsample,gini,auto,1,5,0.7350391658236859,0.5608465608465608,0.7096774193548387,0.7925000000000001,0.7329268292682927,0.6903345812042669,0.5268292682926831,0.6475095785440614,0.7484811664641555,0.6851612903225807
rf,word,True,0.25,1,"(1, 1)",no_emoji,stem,,gini,auto,1,10,0.734682871742986,0.5964912280701754,0.697452229299363,0.7919143876337694,0.7353658536585366,0.6997360746200286,0.511904761904762,0.649706457925636,0.7669345579793341,0.7006451612903226
rf,word,True,0.5,1,"(1, 1)",emoji_generic,stem,,entropy,auto,1,5,0.7344515390310675,0.5888888888888889,0.699523052464229,0.7918170878459686,0.7341463414634146,0.7126894763021924,0.5363128491620112,0.6653919694072659,0.7759433962264151,0.7109677419354838
rf,word,True,0.25,1,"(1, 1)",no_emoji,stem,,entropy,sqrt,1,10,0.7336946802823541,0.5988023952095808,0.7018633540372671,0.7864897466827503,0.7341463414634146,0.6877740032998875,0.5536723163841807,0.6254826254826255,0.7485380116959065,0.6851612903225807
rf,word,True,0.5,1,"(1, 1)",emoji_unique,stem,,entropy,auto,1,5,0.7331621224747384,0.5921787709497206,0.6912000000000001,0.7942583732057417,0.7329268292682927,0.7092888001358602,0.4880952380952381,0.6603415559772295,0.783625730994152,0.7096774193548387
rf,word,True,0.5,1,"(1, 1)",emoji_unique,stem,,entropy,sqrt,1,10,0.7327758030511532,0.5517241379310344,0.6988727858293076,0.7976331360946747,0.7341463414634146,0.6929263894526467,0.5513513513513514,0.6295585412667946,0.7559241706161137,0.6890322580645162
rf,word,True,0.5,1,"(1, 1)",emoji_unique,stem,,gini,sqrt,1,5,0.7318385790906651,0.5402298850574714,0.6995377503852079,0.7980416156670747,0.7317073170731707,0.6793248112483459,0.4795321637426901,0.6259541984732825,0.7508771929824563,0.6787096774193548
rf,word,True,1.0,1,"(1, 1)",emoji_generic,stem,,entropy,auto,1,5,0.7317289039472775,0.5957446808510638,0.7093749999999999,0.7783251231527093,0.7304878048780488,0.6936205937713579,0.5116279069767442,0.6450381679389313,0.7587822014051522,0.6929032258064516
rf,word,True,0.5,1,"(1, 1)",emoji_generic,stem,,entropy,sqrt,1,5,0.7316286978461989,0.5652173913043479,0.7049689440993789,0.7881773399014779,0.7304878048780488,0.6862548825717115,0.4910179640718562,0.6238185255198488,0.7611241217798593,0.6851612903225807
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,,gini,sqrt,1,10,0.73152693807321,0.5529411764705883,0.694267515923567,0.7980997624703088,0.7329268292682927,0.7033727546413795,0.5317919075144507,0.6414342629482072,0.7725714285714285,0.7032258064516129
rf,word,True,0.5,1,"(1, 2)",emoji_generic,stem,balanced_subsample,entropy,sqrt,1,5,0.7314558815830371,0.5934065934065933,0.7035928143712575,0.7822784810126583,0.7292682926829268,0.6603943173199713,0.5355191256830601,0.6056572379367721,0.7154046997389033,0.6516129032258065
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,balanced_subsample,entropy,sqrt,1,10,0.7312357059085512,0.548076923076923,0.6952380952380951,0.7980049875311721,0.7268292682926829,0.7055089833128524,0.6103286384976525,0.6493506493506493,0.7543859649122807,0.6980645161290323
rf,word,True,1.0,10,"(1, 1)",emoji_generic,stem,,entropy,sqrt,2,2,0.7311508102773576,0.5521472392638036,0.6893203883495145,0.8009313154831199,0.7341463414634146,0.6835518791130163,0.45614035087719296,0.626746506986028,0.7630979498861048,0.6851612903225807
rf,word,True,0.25,1,"(1, 2)",emoji_unique,stem,balanced,entropy,sqrt,1,10,0.7307767413935239,0.5644171779141105,0.6964285714285715,0.7925465838509318,0.7304878048780488,0.6862480620968376,0.5533980582524272,0.627027027027027,0.7452471482889733,0.6774193548387096
rf,word,True,0.5,1,"(1, 1)",no_emoji,stem,,entropy,sqrt,1,5,0.7305321640958132,0.5517241379310344,0.7038216560509555,0.7899761336515512,0.7317073170731707,0.6966403423437453,0.5454545454545454,0.6303501945525292,0.7632508833922262,0.6929032258064516
rf,word,True,0.25,1,"(1, 2)",emoji_unique,stem,balanced,gini,auto,1,5,0.7303824647436926,0.5418719211822659,0.7120743034055727,0.7863463969658658,0.7268292682926829,0.6828880256102398,0.49450549450549447,0.6352087114337568,0.7490820073439414,0.6787096774193548
rf,word,True,0.25,1,"(1, 1)",emoji_unique,stem,balanced_subsample,gini,auto,1,5,0.729596116380118,0.5395348837209303,0.6898839137645107,0.8004866180048662,0.725609756097561,0.6875424320398328,0.5045871559633027,0.6450381679389313,0.75,0.68
rf,word,True,0.5,1,"(1, 1)",emoji_generic,stem,,gini,sqrt,1,10,0.7294741753653238,0.5276073619631902,0.6978193146417445,0.7976047904191617,0.7317073170731707,0.7143113904024675,0.5380116959064327,0.6510721247563352,0.7852193995381063,0.7135483870967742
rf,word,True,0.5,1,"(1, 2)",no_emoji,stem,balanced,gini,auto,1,10,0.7289717961223019,0.5743589743589743,0.7057057057057058,0.7804878048780488,0.725609756097561,0.6600988260584921,0.4663212435233161,0.6120218579234973,0.7277227722772277,0.6541935483870968
rf,word,True,0.5,10,"(1, 3)",no_emoji,stem,,gini,sqrt,4,10,0.7288921779623787,0.5466666666666666,0.7055306427503738,0.7868453105968332,0.7317073170731707,0.6647489315564721,0.3841059602649007,0.6113207547169811,0.7548906789413119,0.6696774193548387
rf,word,True,1.0,1,"(1, 1)",no_emoji,stem,balanced,entropy,sqrt,1,10,0.7287757188865385,0.5812807881773399,0.6982622432859399,0.7835820895522388,0.725609756097561,0.6696345964044019,0.5137614678899082,0.6153846153846154,0.7315270935960592,0.6619354838709678
rf,word,True,0.5,10,"(1, 1)",no_emoji,stem,,gini,auto,2,5,0.7285640970920477,0.535031847133758,0.6946688206785137,0.7962962962962963,0.7329268292682927,0.6519118858540732,0.37333333333333335,0.5977443609022556,0.7419354838709676,0.6567741935483871
rf,word,True,0.5,1,"(1, 2)",emoji_generic,stem,balanced,gini,auto,1,5,0.7285505786439482,0.6086956521739131,0.7031963470319634,0.7734668335419275,0.7268292682926829,0.6773887619744833,0.5170731707317073,0.6305970149253732,0.7367119901112485,0.6709677419354839
rf,word,True,0.5,1,"(1, 2)",no_emoji,stem,,gini,auto,1,10,0.7282063765462664,0.6064516129032258,0.6876876876876877,0.7838827838827839,0.7280487804878049,0.7081912745883913,0.5189873417721519,0.6452830188679245,0.7819025522041763,0.7083870967741935
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,balanced_subsample,gini,auto,1,5,0.7281385940096706,0.5497630331753555,0.6916802610114193,0.7941176470588236,0.724390243902439,0.6984837219632909,0.5964912280701755,0.6330097087378641,0.7534076827757125,0.6903225806451613
rf,word,True,0.5,1,"(1, 1)",emoji_generic,stem,,gini,auto,1,10,0.7280245189784418,0.5432098765432098,0.6971080669710806,0.7917174177831912,0.7292682926829268,0.7034431824739402,0.5348837209302325,0.6423076923076924,0.7715617715617715,0.7019354838709677
rf,word,True,0.25,1,"(1, 2)",emoji_generic,stem,balanced,gini,sqrt,1,10,0.728003296666447,0.5617977528089888,0.7083333333333334,0.779746835443038,0.7268292682926829,0.6870824258116106,0.5607476635514018,0.6323529411764706,0.7424242424242424,0.6787096774193548
rf,word,True,0.5,1,"(1, 1)",no_emoji,stem,,entropy,auto,2,2,0.7277892173425926,0.5256410256410257,0.7062499999999999,0.7890995260663507,0.7317073170731707,0.6759275485750462,0.48407643312101917,0.6195028680688337,0.7471264367816093,0.6774193548387096
rf,word,True,0.25,1,"(1, 2)",no_emoji,stem,,entropy,auto,1,5,0.7276459872819188,0.5769230769230769,0.6943164362519201,0.7851140456182474,0.7292682926829268,0.686598264060482,0.5227272727272726,0.6261510128913444,0.753309265944645,0.6825806451612904
rf,word,True,0.25,1,"(1, 2)",emoji_unique,stem,balanced,gini,sqrt,1,5,0.7275202212877713,0.5524861878453039,0.7027863777089783,0.7847478474784748,0.7268292682926829,0.7056299082477574,0.5853658536585367,0.6431226765799257,0.7633209417596034,0.6980645161290323
rf,word,True,1.0,1,"(1, 2)",emoji_generic,stem,balanced_subsample,entropy,auto,1,10,0.7274232038621866,0.5189189189189188,0.7078313253012049,0.788874841972187,0.725609756097561,0.6911051827763423,0.59375,0.6254545454545456,0.7450495049504952,0.6838709677419355
rf,word,True,0.5,1,"(1, 1)",emoji_unique,stem,,gini,auto,1,10,0.7274173181217124,0.5750000000000001,0.6835443037974683,0.7924528301886793,0.7292682926829268,0.6927474289191811,0.5029940119760479,0.638888888888889,0.7622298065984073,0.6941935483870968
rf,word,True,0.5,10,"(1, 2)",emoji_generic,stem,,entropy,sqrt,4,5,0.7274115155961473,0.5499999999999999,0.6914728682170543,0.7928143712574849,0.7292682926829268,0.6686779176074539,0.43421052631578944,0.6133333333333333,0.7491408934707903,0.672258064516129
rf,word,True,0.25,1,"(1, 1)",emoji_generic,stem,,gini,auto,1,10,0.727314693964322,0.5443786982248521,0.6985645933014354,0.7890995260663507,0.7292682926829268,0.6949762064752529,0.5149700598802395,0.6338582677165354,0.7657142857142857,0.6954838709677419
rf,word,True,0.5,1,"(1, 3)",emoji_generic,stem,balanced_subsample,gini,auto,1,10,0.727016908622925,0.5595238095238094,0.7014925373134329,0.7830423940149626,0.7268292682926829,0.6687284685530458,0.5027932960893856,0.6156648451730419,0.732360097323601,0.6645161290322581
rf,word,True,0.5,1,"(1, 1)",emoji_unique,stem,,entropy,sqrt,1,5,0.7268424208359235,0.5714285714285715,0.7017543859649122,0.779783393501805,0.7268292682926829,0.6973345222046007,0.5029239766081871,0.6365348399246705,0.7712264150943398,0.6954838709677419
rf,word,True,0.5,1,"(1, 3)",no_emoji,stem,,gini,sqrt,1,10,0.7266273327222645,0.5095541401273885,0.7107692307692308,0.7875150060024009,0.7304878048780488,0.6873853315700991,0.48051948051948046,0.6395563770794824,0.7578947368421053,0.6890322580645162
rf,word,True,0.5,1,"(1, 1)",emoji_generic,stem,,gini,auto,2,2,0.726587205991917,0.5405405405405406,0.697452229299363,0.7893518518518517,0.7317073170731707,0.6780197505760659,0.4727272727272727,0.6120857699805069,0.7568807339449541,0.6787096774193548
rf,word,True,0.5,1,"(1, 1)",emoji_generic,stem,,entropy,auto,1,10,0.7265441053040315,0.5487804878048781,0.6965944272445821,0.7879518072289157,0.7280487804878049,0.6972165173912002,0.5168539325842696,0.6354775828460039,0.7683352735739231,0.6954838709677419
rf,word,True,0.25,1,"(1, 2)",no_emoji,stem,,entropy,sqrt,1,5,0.7265311748017678,0.6086956521739131,0.6913946587537091,0.7776397515527952,0.725609756097561,0.6914520154673646,0.5777777777777778,0.6203007518796992,0.7517899761336516,0.6864516129032258
rf,word,True,0.5,1,"(1, 1)",emoji_unique,stem,balanced,gini,sqrt,1,5,0.7265124993391454,0.5767441860465117,0.6982622432859399,0.7803030303030304,0.7219512195121951,0.6932813538173109,0.5700483091787439,0.6297709923664121,0.7521367521367521,0.6864516129032258
rf,word,True,0.25,1,"(1, 1)",no_emoji,stem,balanced_subsample,gini,auto,1,5,0.7263033121855414,0.5462962962962962,0.6928104575163399,0.7906403940886699,0.7219512195121951,0.6816480343271629,0.5418719211822659,0.6228893058161351,0.742014742014742,0.6748387096774193
rf,word,True,1.0,1,"(1, 1)",no_emoji,stem,balanced_subsample,gini,auto,1,5,0.7261022772124744,0.588785046728972,0.6859903381642511,0.7850931677018634,0.7219512195121951,0.6909528223879307,0.5248868778280543,0.6565464895635674,0.745635910224439,0.6838709677419355
rf,word,True,0.25,1,"(1, 2)",no_emoji,stem,,gini,sqrt,1,10,0.7259295571525273,0.5466666666666666,0.6973293768545994,0.7867647058823529,0.7280487804878049,0.6927071990205165,0.5157232704402516,0.618867924528302,0.7688734030197445,0.6916129032258065
rf,word,True,0.5,1,"(1, 2)",emoji_unique,stem,balanced,gini,auto,1,5,0.7259043944298309,0.5578947368421052,0.6961832061068702,0.7849056603773585,0.723170731707317,0.6983420795460015,0.5643564356435645,0.634862385321101,0.759651307596513,0.6903225806451613
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,,entropy,auto,1,5,0.7258845482831927,0.6153846153846153,0.6905132192846034,0.7754601226993866,0.724390243902439,0.7069494192748533,0.5586592178770949,0.6486486486486487,0.7690504103165299,0.704516129032258
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,,entropy,auto,1,10,0.7257848891196831,0.6107784431137725,0.691358024691358,0.7757575757575759,0.725609756097561,0.6949977111171581,0.5325443786982249,0.6330097087378641,0.762124711316397,0.6941935483870968
rf,word,True,1.0,1,"(1, 1)",emoji_unique,stem,,gini,sqrt,1,5,0.7257459188617996,0.525,0.7034700315457414,0.7872340425531915,0.7292682926829268,0.7027065100197936,0.5113636363636364,0.6498054474708171,0.7720930232558139,0.7019354838709677
rf,word,True,0.25,1,"(1, 1)",emoji_unique,stem,balanced,entropy,auto,1,10,0.7256375249663722,0.5529953917050692,0.6955128205128206,0.7859824780976219,0.7207317073170731,0.6843822954946427,0.4926108374384237,0.6401515151515152,0.7496947496947497,0.6787096774193548
