model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.25,1,"(1, 1)",new,stem,5.0,balanced,scale,rbf,0.7223751538345701,0.5355191256830601,0.6918032786885246,0.7863046044864227,0.723170731707317,0.6896833093453172,0.4739884393063584,0.6374045801526718,0.764361078546307,0.6890322580645162
svm,word,True,0.5,1,"(1, 1)",new,stem,5.0,balanced,scale,rbf,0.7223751538345701,0.5355191256830601,0.6918032786885246,0.7863046044864227,0.723170731707317,0.6896833093453172,0.4739884393063584,0.6374045801526718,0.764361078546307,0.6890322580645162
svm,word,True,1.0,1,"(1, 1)",new,stem,5.0,balanced,scale,rbf,0.7223751538345701,0.5355191256830601,0.6918032786885246,0.7863046044864227,0.723170731707317,0.6896833093453172,0.4739884393063584,0.6374045801526718,0.764361078546307,0.6890322580645162
svm,word,True,0.25,1,"(1, 1)",old,original,5.0,balanced,scale,rbf,0.7219431118992203,0.391304347826087,0.7343749999999999,0.7562189054726368,0.7259615384615384,0.6493115427259608,0.37037037037037035,0.5882352941176471,0.7139479905437351,0.6422976501305483
svm,word,True,0.5,1,"(1, 1)",old,original,5.0,balanced,scale,rbf,0.7219431118992203,0.391304347826087,0.7343749999999999,0.7562189054726368,0.7259615384615384,0.6493115427259608,0.37037037037037035,0.5882352941176471,0.7139479905437351,0.6422976501305483
svm,word,True,1.0,1,"(1, 1)",old,original,5.0,balanced,scale,rbf,0.7219431118992203,0.391304347826087,0.7343749999999999,0.7562189054726368,0.7259615384615384,0.6493115427259608,0.37037037037037035,0.5882352941176471,0.7139479905437351,0.6422976501305483
svm,word,True,0.25,1,"(1, 1)",new,stem,5.0,,scale,rbf,0.7192037326476632,0.5333333333333333,0.6843853820598008,0.7857961053837343,0.723170731707317,0.6955254543302172,0.46540880503144655,0.6365348399246705,0.7767441860465116,0.6967741935483871
svm,word,True,0.5,1,"(1, 1)",new,stem,5.0,,scale,rbf,0.7192037326476632,0.5333333333333333,0.6843853820598008,0.7857961053837343,0.723170731707317,0.6955254543302172,0.46540880503144655,0.6365348399246705,0.7767441860465116,0.6967741935483871
svm,word,True,1.0,1,"(1, 1)",new,stem,5.0,,scale,rbf,0.7192037326476632,0.5333333333333333,0.6843853820598008,0.7857961053837343,0.723170731707317,0.6955254543302172,0.46540880503144655,0.6365348399246705,0.7767441860465116,0.6967741935483871
svm,word,True,0.25,1,"(1, 1)",old,lemma,5.0,balanced,scale,rbf,0.7181364597601713,0.41666666666666663,0.7371134020618557,0.7424242424242425,0.7211538461538461,0.6396567452558811,0.3018867924528302,0.5862068965517241,0.7092198581560284,0.6344647519582245
svm,word,True,0.5,1,"(1, 1)",old,lemma,5.0,balanced,scale,rbf,0.7181364597601713,0.41666666666666663,0.7371134020618557,0.7424242424242425,0.7211538461538461,0.6396567452558811,0.3018867924528302,0.5862068965517241,0.7092198581560284,0.6344647519582245
svm,word,True,1.0,1,"(1, 1)",old,lemma,5.0,balanced,scale,rbf,0.7181364597601713,0.41666666666666663,0.7371134020618557,0.7424242424242425,0.7211538461538461,0.6396567452558811,0.3018867924528302,0.5862068965517241,0.7092198581560284,0.6344647519582245
svm,word,True,0.25,1,"(1, 1)",old,original,5.0,,scale,rbf,0.7173454292093593,0.3902439024390244,0.7379134860050891,0.7437185929648241,0.7235576923076923,0.6592188884361955,0.3478260869565218,0.6116838487972508,0.7226107226107226,0.6579634464751958
svm,word,True,0.5,1,"(1, 1)",old,original,5.0,,scale,rbf,0.7173454292093593,0.3902439024390244,0.7379134860050891,0.7437185929648241,0.7235576923076923,0.6592188884361955,0.3478260869565218,0.6116838487972508,0.7226107226107226,0.6579634464751958
svm,word,True,1.0,1,"(1, 1)",old,original,5.0,,scale,rbf,0.7173454292093593,0.3902439024390244,0.7379134860050891,0.7437185929648241,0.7235576923076923,0.6592188884361955,0.3478260869565218,0.6116838487972508,0.7226107226107226,0.6579634464751958
svm,word,True,0.25,1,"(1, 1)",old,stem,5.0,,scale,rbf,0.7169912059531196,0.4,0.7405541561712846,0.7392405063291139,0.7235576923076923,0.6574240157645513,0.39130434782608703,0.6035087719298246,0.7172413793103448,0.6553524804177546
svm,word,True,0.5,1,"(1, 1)",old,stem,5.0,,scale,rbf,0.7169912059531196,0.4,0.7405541561712846,0.7392405063291139,0.7235576923076923,0.6574240157645513,0.39130434782608703,0.6035087719298246,0.7172413793103448,0.6553524804177546
svm,word,True,1.0,1,"(1, 1)",old,stem,5.0,,scale,rbf,0.7169912059531196,0.4,0.7405541561712846,0.7392405063291139,0.7235576923076923,0.6574240157645513,0.39130434782608703,0.6035087719298246,0.7172413793103448,0.6553524804177546
svm,word,True,0.25,1,"(1, 1)",old,stem,5.0,balanced,scale,rbf,0.7157778976975405,0.41666666666666663,0.7346938775510204,0.739795918367347,0.71875,0.6557559397762569,0.37037037037037035,0.5985915492957746,0.719626168224299,0.6501305483028721
svm,word,True,0.5,1,"(1, 1)",old,stem,5.0,balanced,scale,rbf,0.7157778976975405,0.41666666666666663,0.7346938775510204,0.739795918367347,0.71875,0.6557559397762569,0.37037037037037035,0.5985915492957746,0.719626168224299,0.6501305483028721
svm,word,True,1.0,1,"(1, 1)",old,stem,5.0,balanced,scale,rbf,0.7157778976975405,0.41666666666666663,0.7346938775510204,0.739795918367347,0.71875,0.6557559397762569,0.37037037037037035,0.5985915492957746,0.719626168224299,0.6501305483028721
svm,word,True,0.25,1,"(1, 1)",new,original,5.0,,scale,rbf,0.7129032838798268,0.5325443786982248,0.6732673267326733,0.7815028901734105,0.7158536585365853,0.6955571911401126,0.46540880503144655,0.6417910447761195,0.7742690058479531,0.6967741935483871
svm,word,True,0.5,1,"(1, 1)",new,original,5.0,,scale,rbf,0.7129032838798268,0.5325443786982248,0.6732673267326733,0.7815028901734105,0.7158536585365853,0.6955571911401126,0.46540880503144655,0.6417910447761195,0.7742690058479531,0.6967741935483871
svm,word,True,1.0,1,"(1, 1)",new,original,5.0,,scale,rbf,0.7129032838798268,0.5325443786982248,0.6732673267326733,0.7815028901734105,0.7158536585365853,0.6955571911401126,0.46540880503144655,0.6417910447761195,0.7742690058479531,0.6967741935483871
svm,word,True,0.25,1,"(1, 2)",new,stem,5.0,,scale,rbf,0.7102439291417337,0.5269461077844311,0.6799387442572742,0.773170731707317,0.7109756097560975,0.7018568692163752,0.5389221556886228,0.6311926605504588,0.7732696897374701,0.6980645161290323
svm,word,True,0.5,1,"(1, 2)",new,stem,5.0,,scale,rbf,0.7102439291417337,0.5269461077844311,0.6799387442572742,0.773170731707317,0.7109756097560975,0.7018568692163752,0.5389221556886228,0.6311926605504588,0.7732696897374701,0.6980645161290323
svm,word,True,1.0,1,"(1, 2)",new,stem,5.0,,scale,rbf,0.7102439291417337,0.5269461077844311,0.6799387442572742,0.773170731707317,0.7109756097560975,0.7018568692163752,0.5389221556886228,0.6311926605504588,0.7732696897374701,0.6980645161290323
svm,word,True,0.25,1,"(1, 1)",new,original,5.0,balanced,scale,rbf,0.7092599285896166,0.5297297297297298,0.6721581548599671,0.775943396226415,0.7097560975609756,0.690473272847096,0.4678362573099415,0.6466165413533834,0.7626918536009446,0.6903225806451613
svm,word,True,0.5,1,"(1, 1)",new,original,5.0,balanced,scale,rbf,0.7092599285896166,0.5297297297297298,0.6721581548599671,0.775943396226415,0.7097560975609756,0.690473272847096,0.4678362573099415,0.6466165413533834,0.7626918536009446,0.6903225806451613
svm,word,True,1.0,1,"(1, 1)",new,original,5.0,balanced,scale,rbf,0.7092599285896166,0.5297297297297298,0.6721581548599671,0.775943396226415,0.7097560975609756,0.690473272847096,0.4678362573099415,0.6466165413533834,0.7626918536009446,0.6903225806451613
svm,word,True,0.25,1,"(1, 1)",old,lemma,1.5,,scale,rbf,0.7089489877675662,0.34285714285714286,0.7331670822942642,0.7373737373737375,0.71875,0.6307892502510517,0.2380952380952381,0.5882352941176471,0.7033492822966506,0.6318537859007833
svm,word,True,0.5,1,"(1, 1)",old,lemma,1.5,,scale,rbf,0.7089489877675662,0.34285714285714286,0.7331670822942642,0.7373737373737375,0.71875,0.6307892502510517,0.2380952380952381,0.5882352941176471,0.7033492822966506,0.6318537859007833
svm,word,True,1.0,1,"(1, 1)",old,lemma,1.5,,scale,rbf,0.7089489877675662,0.34285714285714286,0.7331670822942642,0.7373737373737375,0.71875,0.6307892502510517,0.2380952380952381,0.5882352941176471,0.7033492822966506,0.6318537859007833
svm,word,True,0.25,1,"(1, 1)",new,lemma,5.0,,scale,rbf,0.7069153271599063,0.5269461077844311,0.6666666666666666,0.775842044134727,0.7097560975609756,0.6885733080328905,0.4625,0.6333333333333334,0.7670588235294117,0.6890322580645162
svm,word,True,0.5,1,"(1, 1)",new,lemma,5.0,,scale,rbf,0.7069153271599063,0.5269461077844311,0.6666666666666666,0.775842044134727,0.7097560975609756,0.6885733080328905,0.4625,0.6333333333333334,0.7670588235294117,0.6890322580645162
svm,word,True,1.0,1,"(1, 1)",new,lemma,5.0,,scale,rbf,0.7069153271599063,0.5269461077844311,0.6666666666666666,0.775842044134727,0.7097560975609756,0.6885733080328905,0.4625,0.6333333333333334,0.7670588235294117,0.6890322580645162
svm,word,True,0.25,1,"(1, 1)",new,lemma,5.0,balanced,scale,rbf,0.705094514507056,0.5193370165745855,0.6666666666666666,0.7741176470588235,0.7060975609756097,0.6840550048166694,0.4624277456647399,0.6317757009345795,0.7600950118764845,0.6825806451612904
svm,word,True,0.5,1,"(1, 1)",new,lemma,5.0,balanced,scale,rbf,0.705094514507056,0.5193370165745855,0.6666666666666666,0.7741176470588235,0.7060975609756097,0.6840550048166694,0.4624277456647399,0.6317757009345795,0.7600950118764845,0.6825806451612904
svm,word,True,1.0,1,"(1, 1)",new,lemma,5.0,balanced,scale,rbf,0.705094514507056,0.5193370165745855,0.6666666666666666,0.7741176470588235,0.7060975609756097,0.6840550048166694,0.4624277456647399,0.6317757009345795,0.7600950118764845,0.6825806451612904
svm,word,True,0.25,1,"(1, 1)",old,lemma,5.0,,scale,rbf,0.7031281277940227,0.3902439024390244,0.7244897959183675,0.7268170426065163,0.7091346153846154,0.6495219287782658,0.3478260869565218,0.597938144329897,0.7132867132867132,0.6475195822454308
svm,word,True,0.5,1,"(1, 1)",old,lemma,5.0,,scale,rbf,0.7031281277940227,0.3902439024390244,0.7244897959183675,0.7268170426065163,0.7091346153846154,0.6495219287782658,0.3478260869565218,0.597938144329897,0.7132867132867132,0.6475195822454308
svm,word,True,1.0,1,"(1, 1)",old,lemma,5.0,,scale,rbf,0.7031281277940227,0.3902439024390244,0.7244897959183675,0.7268170426065163,0.7091346153846154,0.6495219287782658,0.3478260869565218,0.597938144329897,0.7132867132867132,0.6475195822454308
svm,word,True,0.25,1,"(1, 2)",new,stem,5.0,balanced,scale,rbf,0.7026418313043349,0.519774011299435,0.6756352765321375,0.7632241813602014,0.7012195121951219,0.6884164059597215,0.5000000000000001,0.6200716845878136,0.7645631067961165,0.6838709677419355
svm,word,True,0.5,1,"(1, 2)",new,stem,5.0,balanced,scale,rbf,0.7026418313043349,0.519774011299435,0.6756352765321375,0.7632241813602014,0.7012195121951219,0.6884164059597215,0.5000000000000001,0.6200716845878136,0.7645631067961165,0.6838709677419355
svm,word,True,1.0,1,"(1, 2)",new,stem,5.0,balanced,scale,rbf,0.7026418313043349,0.519774011299435,0.6756352765321375,0.7632241813602014,0.7012195121951219,0.6884164059597215,0.5000000000000001,0.6200716845878136,0.7645631067961165,0.6838709677419355
svm,word,True,0.25,1,"(1, 1)",old,stem,1.5,,scale,rbf,0.7000197111929161,0.29411764705882354,0.7295285359801489,0.7291139240506329,0.7115384615384616,0.6321884134771767,0.24390243902439024,0.5921052631578948,0.7030878859857482,0.6344647519582245
svm,word,True,0.5,1,"(1, 1)",old,stem,1.5,,scale,rbf,0.7000197111929161,0.29411764705882354,0.7295285359801489,0.7291139240506329,0.7115384615384616,0.6321884134771767,0.24390243902439024,0.5921052631578948,0.7030878859857482,0.6344647519582245
svm,word,True,1.0,1,"(1, 1)",old,stem,1.5,,scale,rbf,0.7000197111929161,0.29411764705882354,0.7295285359801489,0.7291139240506329,0.7115384615384616,0.6321884134771767,0.24390243902439024,0.5921052631578948,0.7030878859857482,0.6344647519582245
svm,word,True,0.25,1,"(1, 2)",new,original,5.0,,scale,rbf,0.6996324273860415,0.5088757396449705,0.6687022900763359,0.7647058823529413,0.7,0.6838063171227842,0.47904191616766467,0.6215722120658135,0.7607655502392345,0.6812903225806451
svm,word,True,0.5,1,"(1, 2)",new,original,5.0,,scale,rbf,0.6996324273860415,0.5088757396449705,0.6687022900763359,0.7647058823529413,0.7,0.6838063171227842,0.47904191616766467,0.6215722120658135,0.7607655502392345,0.6812903225806451
svm,word,True,1.0,1,"(1, 2)",new,original,5.0,,scale,rbf,0.6996324273860415,0.5088757396449705,0.6687022900763359,0.7647058823529413,0.7,0.6838063171227842,0.47904191616766467,0.6215722120658135,0.7607655502392345,0.6812903225806451
svm,word,True,0.25,1,"(1, 3)",new,stem,5.0,,scale,rbf,0.6992062515547981,0.5269461077844311,0.6783114992721979,0.7531806615776082,0.698780487804878,0.6951331988433573,0.5357142857142857,0.6245487364620939,0.7657004830917875,0.6903225806451613
svm,word,True,0.5,1,"(1, 3)",new,stem,5.0,,scale,rbf,0.6992062515547981,0.5269461077844311,0.6783114992721979,0.7531806615776082,0.698780487804878,0.6951331988433573,0.5357142857142857,0.6245487364620939,0.7657004830917875,0.6903225806451613
svm,word,True,1.0,1,"(1, 3)",new,stem,5.0,,scale,rbf,0.6992062515547981,0.5269461077844311,0.6783114992721979,0.7531806615776082,0.698780487804878,0.6951331988433573,0.5357142857142857,0.6245487364620939,0.7657004830917875,0.6903225806451613
svm,word,True,0.25,1,"(1, 1)",old,original,1.5,,scale,rbf,0.6978677198577237,0.29411764705882354,0.7231920199501246,0.7304785894206548,0.7091346153846154,0.6286188279003625,0.2380952380952381,0.5808580858085809,0.7030878859857482,0.6292428198433421
svm,word,True,0.5,1,"(1, 1)",old,original,1.5,,scale,rbf,0.6978677198577237,0.29411764705882354,0.7231920199501246,0.7304785894206548,0.7091346153846154,0.6286188279003625,0.2380952380952381,0.5808580858085809,0.7030878859857482,0.6292428198433421
svm,word,True,1.0,1,"(1, 1)",old,original,1.5,,scale,rbf,0.6978677198577237,0.29411764705882354,0.7231920199501246,0.7304785894206548,0.7091346153846154,0.6286188279003625,0.2380952380952381,0.5808580858085809,0.7030878859857482,0.6292428198433421
svm,word,True,0.25,1,"(1, 2)",new,lemma,5.0,,scale,rbf,0.6970137806508109,0.5088757396449705,0.6676875957120979,0.7603911980440098,0.697560975609756,0.6794661909342048,0.4912280701754387,0.6126126126126127,0.7548543689320387,0.6748387096774193
svm,word,True,0.5,1,"(1, 2)",new,lemma,5.0,,scale,rbf,0.6970137806508109,0.5088757396449705,0.6676875957120979,0.7603911980440098,0.697560975609756,0.6794661909342048,0.4912280701754387,0.6126126126126127,0.7548543689320387,0.6748387096774193
svm,word,True,1.0,1,"(1, 2)",new,lemma,5.0,,scale,rbf,0.6970137806508109,0.5088757396449705,0.6676875957120979,0.7603911980440098,0.697560975609756,0.6794661909342048,0.4912280701754387,0.6126126126126127,0.7548543689320387,0.6748387096774193
svm,word,True,0.25,1,"(1, 2)",new,lemma,5.0,,scale,sigmoid,0.6956779480958208,0.5333333333333333,0.645367412140575,0.7673860911270983,0.6951219512195121,0.6631315342951267,0.4827586206896552,0.579047619047619,0.7450058754406581,0.6593548387096774
svm,word,True,0.5,1,"(1, 2)",new,lemma,5.0,,scale,sigmoid,0.6956779480958208,0.5333333333333333,0.645367412140575,0.7673860911270983,0.6951219512195121,0.6631315342951267,0.4827586206896552,0.579047619047619,0.7450058754406581,0.6593548387096774
svm,word,True,1.0,1,"(1, 2)",new,lemma,5.0,,scale,sigmoid,0.6956779480958208,0.5333333333333333,0.645367412140575,0.7673860911270983,0.6951219512195121,0.6631315342951267,0.4827586206896552,0.579047619047619,0.7450058754406581,0.6593548387096774
svm,word,True,0.25,1,"(1, 1)",new,stem,1.5,balanced,scale,rbf,0.695620494179617,0.5326086956521738,0.6687022900763359,0.7515605493133583,0.6939024390243902,0.6814038289690794,0.48837209302325585,0.631578947368421,0.7496977025392986,0.6787096774193548
svm,word,True,0.5,1,"(1, 1)",new,stem,1.5,balanced,scale,rbf,0.695620494179617,0.5326086956521738,0.6687022900763359,0.7515605493133583,0.6939024390243902,0.6814038289690794,0.48837209302325585,0.631578947368421,0.7496977025392986,0.6787096774193548
