model,analyzer,lowercase,max_df,min_df,ngram_range,type,C,class_weight,penalty,solver,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
logreg,word,True,0.25,1,"(1, 2)",stem,0.5,balanced,l2,lbfgs,0.8167878036354305,0.5561497326203207,0.8833254605573926,0.7157738095238094,0.8249327956989247,0.7671924764578144,0.5594059405940593,0.8477535301668807,0.6710923355461678,0.7790463398253862
logreg,word,True,0.25,1,"(1, 2)",stem,0.5,balanced,l2,newton-cg,0.8167878036354305,0.5561497326203207,0.8833254605573926,0.7157738095238094,0.8249327956989247,0.7671924764578144,0.5594059405940593,0.8477535301668807,0.6710923355461678,0.7790463398253862
logreg,word,True,0.5,1,"(1, 2)",stem,0.5,balanced,l2,lbfgs,0.8167878036354305,0.5561497326203207,0.8833254605573926,0.7157738095238094,0.8249327956989247,0.7671924764578144,0.5594059405940593,0.8477535301668807,0.6710923355461678,0.7790463398253862
logreg,word,True,0.5,1,"(1, 2)",stem,0.5,balanced,l2,newton-cg,0.8167878036354305,0.5561497326203207,0.8833254605573926,0.7157738095238094,0.8249327956989247,0.7671924764578144,0.5594059405940593,0.8477535301668807,0.6710923355461678,0.7790463398253862
logreg,word,True,1.0,1,"(1, 2)",stem,0.5,balanced,l2,lbfgs,0.8167878036354305,0.5561497326203207,0.8833254605573926,0.7157738095238094,0.8249327956989247,0.7671924764578144,0.5594059405940593,0.8477535301668807,0.6710923355461678,0.7790463398253862
logreg,word,True,1.0,1,"(1, 2)",stem,0.5,balanced,l2,newton-cg,0.8167878036354305,0.5561497326203207,0.8833254605573926,0.7157738095238094,0.8249327956989247,0.7671924764578144,0.5594059405940593,0.8477535301668807,0.6710923355461678,0.7790463398253862
logreg,word,True,0.25,1,"(1, 2)",stem,1.0,balanced,l2,lbfgs,0.8141867238782168,0.5606469002695418,0.8821310702498822,0.7079910380881255,0.8229166666666666,0.7684303812289215,0.5628140703517588,0.8473792394655704,0.674669867947179,0.7800537273337811
logreg,word,True,0.25,1,"(1, 2)",stem,1.0,balanced,l2,newton-cg,0.8141867238782168,0.5606469002695418,0.8821310702498822,0.7079910380881255,0.8229166666666666,0.7684303812289215,0.5628140703517588,0.8473792394655704,0.674669867947179,0.7800537273337811
logreg,word,True,0.5,1,"(1, 2)",stem,1.0,balanced,l2,lbfgs,0.8141867238782168,0.5606469002695418,0.8821310702498822,0.7079910380881255,0.8229166666666666,0.7684303812289215,0.5628140703517588,0.8473792394655704,0.674669867947179,0.7800537273337811
logreg,word,True,0.5,1,"(1, 2)",stem,1.0,balanced,l2,newton-cg,0.8141867238782168,0.5606469002695418,0.8821310702498822,0.7079910380881255,0.8229166666666666,0.7684303812289215,0.5628140703517588,0.8473792394655704,0.674669867947179,0.7800537273337811
