model,analyzer,lowercase,max_df,min_df,ngram_range,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.25,1,"(1, 3)",original,1.0,balanced,scale,sigmoid,0.8226187035452368,0.5570776255707762,0.8830225236134658,0.7379061371841156,0.8252688172043011,0.7640590737196647,0.532803180914513,0.8394604601957154,0.6818181818181818,0.7693082605775688
svm,word,True,0.5,1,"(1, 3)",original,1.0,balanced,scale,sigmoid,0.8226187035452368,0.5570776255707762,0.8830225236134658,0.7379061371841156,0.8252688172043011,0.7640590737196647,0.532803180914513,0.8394604601957154,0.6818181818181818,0.7693082605775688
svm,word,True,1.0,1,"(1, 3)",original,1.0,balanced,scale,sigmoid,0.8226187035452368,0.5570776255707762,0.8830225236134658,0.7379061371841156,0.8252688172043011,0.7640590737196647,0.532803180914513,0.8394604601957154,0.6818181818181818,0.7693082605775688
svm,word,True,0.25,1,"(1, 3)",original,1.5,balanced,scale,sigmoid,0.8223978546388881,0.5714285714285715,0.8815949428640895,0.7371388301620859,0.8252688172043011,0.7689597113296611,0.5203883495145631,0.8391946308724831,0.6993006993006993,0.7713230355943587
svm,word,True,0.5,1,"(1, 3)",original,1.5,balanced,scale,sigmoid,0.8223978546388881,0.5714285714285715,0.8815949428640895,0.7371388301620859,0.8252688172043011,0.7689597113296611,0.5203883495145631,0.8391946308724831,0.6993006993006993,0.7713230355943587
svm,word,True,1.0,1,"(1, 3)",original,1.5,balanced,scale,sigmoid,0.8223978546388881,0.5714285714285715,0.8815949428640895,0.7371388301620859,0.8252688172043011,0.7689597113296611,0.5203883495145631,0.8391946308724831,0.6993006993006993,0.7713230355943587
svm,word,True,0.25,1,"(1, 3)",lemma,1.0,balanced,scale,sigmoid,0.822019388924437,0.558891454965358,0.8816108685104317,0.7387258410880457,0.8245967741935484,0.7639123090933589,0.5288270377733598,0.8406026962727993,0.6802395209580838,0.7693082605775688
svm,word,True,0.5,1,"(1, 3)",lemma,1.0,balanced,scale,sigmoid,0.822019388924437,0.558891454965358,0.8816108685104317,0.7387258410880457,0.8245967741935484,0.7639123090933589,0.5288270377733598,0.8406026962727993,0.6802395209580838,0.7693082605775688
svm,word,True,1.0,1,"(1, 3)",lemma,1.0,balanced,scale,sigmoid,0.822019388924437,0.558891454965358,0.8816108685104317,0.7387258410880457,0.8245967741935484,0.7639123090933589,0.5288270377733598,0.8406026962727993,0.6802395209580838,0.7693082605775688
svm,word,True,0.25,1,"(1, 3)",stem,1.0,balanced,scale,sigmoid,0.8198092573838424,0.5265486725663717,0.87890625,0.7450142450142451,0.8205645161290323,0.7654173521251897,0.5265225933202358,0.8414342629482071,0.6837098692033294,0.7699798522498321
