model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,penalty,solver,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
logreg,word,True,0.25,1,"(1, 2)",new,stem,5.0,balanced,l2,lbfgs,0.7162105113993018,0.5959595959595959,0.656195462478185,0.7848101265822786,0.7170731707317073,0.6910549167959229,0.5591397849462365,0.5941747572815533,0.767962308598351,0.6851612903225807
logreg,word,True,0.25,1,"(1, 2)",new,stem,5.0,balanced,l2,newton-cg,0.7162105113993018,0.5959595959595959,0.656195462478185,0.7848101265822786,0.7170731707317073,0.6910549167959229,0.5591397849462365,0.5941747572815533,0.767962308598351,0.6851612903225807
logreg,word,True,0.5,1,"(1, 2)",new,stem,5.0,balanced,l2,lbfgs,0.7162105113993018,0.5959595959595959,0.656195462478185,0.7848101265822786,0.7170731707317073,0.6910549167959229,0.5591397849462365,0.5941747572815533,0.767962308598351,0.6851612903225807
logreg,word,True,0.5,1,"(1, 2)",new,stem,5.0,balanced,l2,newton-cg,0.7162105113993018,0.5959595959595959,0.656195462478185,0.7848101265822786,0.7170731707317073,0.6910549167959229,0.5591397849462365,0.5941747572815533,0.767962308598351,0.6851612903225807
logreg,word,True,1.0,1,"(1, 2)",new,stem,5.0,balanced,l2,lbfgs,0.7162105113993018,0.5959595959595959,0.656195462478185,0.7848101265822786,0.7170731707317073,0.6910549167959229,0.5591397849462365,0.5941747572815533,0.767962308598351,0.6851612903225807
logreg,word,True,1.0,1,"(1, 2)",new,stem,5.0,balanced,l2,newton-cg,0.7162105113993018,0.5959595959595959,0.656195462478185,0.7848101265822786,0.7170731707317073,0.6910549167959229,0.5591397849462365,0.5941747572815533,0.767962308598351,0.6851612903225807
logreg,word,True,0.25,1,"(1, 2)",new,stem,1.5,balanced,l2,lbfgs,0.7117581444643026,0.5911330049261083,0.657580919931857,0.7764705882352942,0.7109756097560975,0.7067381265837122,0.5656565656565657,0.6150870406189555,0.7832335329341318,0.6993548387096774
logreg,word,True,0.25,1,"(1, 2)",new,stem,1.5,balanced,l2,newton-cg,0.7117581444643026,0.5911330049261083,0.657580919931857,0.7764705882352942,0.7109756097560975,0.7067381265837122,0.5656565656565657,0.6150870406189555,0.7832335329341318,0.6993548387096774
logreg,word,True,0.5,1,"(1, 2)",new,stem,1.5,balanced,l2,lbfgs,0.7117581444643026,0.5911330049261083,0.657580919931857,0.7764705882352942,0.7109756097560975,0.7067381265837122,0.5656565656565657,0.6150870406189555,0.7832335329341318,0.6993548387096774
logreg,word,True,0.5,1,"(1, 2)",new,stem,1.5,balanced,l2,newton-cg,0.7117581444643026,0.5911330049261083,0.657580919931857,0.7764705882352942,0.7109756097560975,0.7067381265837122,0.5656565656565657,0.6150870406189555,0.7832335329341318,0.6993548387096774
logreg,word,True,1.0,1,"(1, 2)",new,stem,1.5,balanced,l2,lbfgs,0.7117581444643026,0.5911330049261083,0.657580919931857,0.7764705882352942,0.7109756097560975,0.7067381265837122,0.5656565656565657,0.6150870406189555,0.7832335329341318,0.6993548387096774
logreg,word,True,1.0,1,"(1, 2)",new,stem,1.5,balanced,l2,newton-cg,0.7117581444643026,0.5911330049261083,0.657580919931857,0.7764705882352942,0.7109756097560975,0.7067381265837122,0.5656565656565657,0.6150870406189555,0.7832335329341318,0.6993548387096774
logreg,word,True,0.25,1,"(1, 3)",new,stem,1.5,balanced,l2,lbfgs,0.7063809158454954,0.5771144278606966,0.6586620926243568,0.7686915887850467,0.7060975609756097,0.6936864096913167,0.5235602094240838,0.6031128404669261,0.7763313609467457,0.687741935483871
