model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,penalty,solver,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
logreg,word,True,0.25,1,"(1, 2)",generic,stem,5.0,balanced,l2,lbfgs,0.7234636594046668,0.6091370558375634,0.6666666666666666,0.7885057471264367,0.724390243902439,0.6976538306262465,0.5561497326203209,0.5964912280701754,0.7788235294117647,0.6916129032258065
logreg,word,True,0.25,1,"(1, 2)",generic,stem,5.0,balanced,l2,newton-cg,0.7234636594046668,0.6091370558375634,0.6666666666666666,0.7885057471264367,0.724390243902439,0.6976538306262465,0.5561497326203209,0.5964912280701754,0.7788235294117647,0.6916129032258065
logreg,word,True,0.5,1,"(1, 2)",generic,stem,5.0,balanced,l2,lbfgs,0.7234636594046668,0.6091370558375634,0.6666666666666666,0.7885057471264367,0.724390243902439,0.6976538306262465,0.5561497326203209,0.5964912280701754,0.7788235294117647,0.6916129032258065
logreg,word,True,0.5,1,"(1, 2)",generic,stem,5.0,balanced,l2,newton-cg,0.7234636594046668,0.6091370558375634,0.6666666666666666,0.7885057471264367,0.724390243902439,0.6976538306262465,0.5561497326203209,0.5964912280701754,0.7788235294117647,0.6916129032258065
logreg,word,True,1.0,1,"(1, 2)",generic,stem,5.0,balanced,l2,lbfgs,0.7234636594046668,0.6091370558375634,0.6666666666666666,0.7885057471264367,0.724390243902439,0.6976538306262465,0.5561497326203209,0.5964912280701754,0.7788235294117647,0.6916129032258065
logreg,word,True,1.0,1,"(1, 2)",generic,stem,5.0,balanced,l2,newton-cg,0.7234636594046668,0.6091370558375634,0.6666666666666666,0.7885057471264367,0.724390243902439,0.6976538306262465,0.5561497326203209,0.5964912280701754,0.7788235294117647,0.6916129032258065
logreg,word,True,0.25,1,"(1, 2)",unique,stem,5.0,balanced,l2,lbfgs,0.719581422882425,0.5989847715736041,0.6584938704028022,0.7889908256880734,0.7207317073170731,0.697312293160249,0.5698924731182795,0.6003898635477583,0.7732079905992949,0.6916129032258065
logreg,word,True,0.25,1,"(1, 2)",unique,stem,5.0,balanced,l2,newton-cg,0.719581422882425,0.5989847715736041,0.6584938704028022,0.7889908256880734,0.7207317073170731,0.697312293160249,0.5698924731182795,0.6003898635477583,0.7732079905992949,0.6916129032258065
logreg,word,True,0.5,1,"(1, 2)",unique,stem,5.0,balanced,l2,lbfgs,0.719581422882425,0.5989847715736041,0.6584938704028022,0.7889908256880734,0.7207317073170731,0.697312293160249,0.5698924731182795,0.6003898635477583,0.7732079905992949,0.6916129032258065
logreg,word,True,0.5,1,"(1, 2)",unique,stem,5.0,balanced,l2,newton-cg,0.719581422882425,0.5989847715736041,0.6584938704028022,0.7889908256880734,0.7207317073170731,0.697312293160249,0.5698924731182795,0.6003898635477583,0.7732079905992949,0.6916129032258065
