model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,True,0.25,1,"(1, 1)",generic,stem,balanced_subsample,gini,sqrt,1,2,0.7413214577891024,0.611764705882353,0.711509715994021,0.7915106117353309,0.7402439024390244,0.690318784178223,0.4910179640718562,0.6302367941712204,0.7649880095923263,0.687741935483871
rf,word,True,0.25,1,"(1, 1)",unique,stem,balanced_subsample,gini,sqrt,1,2,0.7396443686177907,0.6153846153846154,0.7053435114503817,0.7916666666666667,0.7390243902439024,0.6900317259094355,0.45283018867924535,0.6336996336996338,0.7715976331360946,0.6903225806451613
rf,word,True,0.5,1,"(1, 1)",generic,stem,balanced,gini,auto,1,2,0.7379469784266218,0.5868263473053892,0.7088989441930619,0.7925925925925926,0.7378048780487805,0.6989278924213052,0.5030674846625766,0.6401446654611211,0.7721822541966427,0.6967741935483871
rf,word,True,0.5,1,"(1, 2)",unique,stem,balanced,gini,auto,2,2,0.7362573048212198,0.5971563981042655,0.7001569858712716,0.7929292929292929,0.7317073170731707,0.6976676219257583,0.5700483091787439,0.6309963099630996,0.7590511860174781,0.6890322580645162
rf,word,True,0.25,1,"(1, 1)",unique,stem,,gini,auto,1,5,0.735505779260919,0.6219512195121952,0.6984615384615385,0.7869249394673123,0.7353658536585366,0.6899141969344389,0.4473684210526316,0.6325411334552102,0.7732079905992949,0.6916129032258065
rf,word,True,0.25,1,"(1, 1)",generic,stem,balanced_subsample,gini,auto,1,2,0.7344936344826074,0.6071428571428571,0.7022900763358778,0.7858017135862913,0.7341463414634146,0.6951200516352336,0.4819277108433735,0.6420664206642067,0.7695961995249406,0.6941935483870968
rf,word,True,0.25,1,"(1, 1)",unique,stem,balanced,gini,auto,1,5,0.7342590323767323,0.6010928961748634,0.7044776119402985,0.7852604828462516,0.7317073170731707,0.7022401563778582,0.5371428571428571,0.6410256410256411,0.7696019300361882,0.6980645161290323
rf,word,True,0.5,1,"(1, 1)",generic,stem,balanced,gini,sqrt,1,2,0.734221100459766,0.591715976331361,0.6976047904191616,0.7920298879202989,0.7329268292682927,0.6990769445608156,0.5212121212121211,0.6385321100917432,0.7690476190476191,0.6967741935483871
rf,word,True,0.25,1,"(1, 1)",unique,stem,balanced,entropy,sqrt,1,5,0.7339066004381052,0.6222222222222221,0.6989409984871406,0.7834793491864831,0.7317073170731707,0.6861061351174251,0.5232558139534883,0.6209386281588447,0.7548543689320387,0.6812903225806451
rf,word,True,0.25,1,"(1, 1)",generic,stem,,entropy,sqrt,1,10,0.7337923371714921,0.5802469135802469,0.7037593984962406,0.7896678966789668,0.7341463414634146,0.68786168264694,0.42666666666666664,0.6302367941712204,0.7755581668625147,0.6903225806451613
rf,word,True,0.5,1,"(1, 1)",generic,stem,,gini,sqrt,1,2,0.7335596572085981,0.6024096385542169,0.7007518796992481,0.7861557478368356,0.7329268292682927,0.6966787512194588,0.4903225806451612,0.6424682395644283,0.7701421800947867,0.6967741935483871
rf,word,True,0.5,1,"(1, 1)",generic,stem,balanced_subsample,gini,auto,1,10,0.7335096357032725,0.6031746031746033,0.6932515337423313,0.7909887359198999,0.7304878048780488,0.7036819911337296,0.5561497326203209,0.6394052044609666,0.7684848484848484,0.6980645161290323
rf,word,True,0.25,1,"(1, 1)",unique,stem,balanced_subsample,gini,auto,1,10,0.7333260901816728,0.5760869565217391,0.6968325791855203,0.7944514501891552,0.7304878048780488,0.6990650216646856,0.5113636363636364,0.6408839779005525,0.7701564380264742,0.6954838709677419
rf,word,True,0.25,1,"(1, 1)",generic,stem,balanced,gini,auto,1,5,0.7332756247903872,0.6054054054054054,0.6940639269406391,0.7894736842105263,0.7304878048780488,0.7029698289957105,0.5232558139534883,0.6410256410256411,0.7740384615384616,0.6993548387096774
rf,word,True,0.5,1,"(1, 1)",unique,stem,balanced_subsample,gini,sqrt,1,2,0.7331270156951355,0.603550295857988,0.699404761904762,0.7859824780976219,0.7317073170731707,0.6978345872960909,0.5060240963855421,0.6386861313868613,0.7703349282296651,0.6954838709677419
rf,word,True,1.0,1,"(1, 1)",unique,stem,balanced_subsample,gini,sqrt,1,5,0.7329820233085577,0.5888888888888889,0.6966966966966968,0.7909319899244333,0.7304878048780488,0.6922202949268252,0.5142857142857142,0.6342342342342343,0.7609756097560975,0.687741935483871
rf,word,True,0.5,1,"(1, 1)",generic,stem,balanced_subsample,entropy,sqrt,1,5,0.7329427536482443,0.6101694915254238,0.6983655274888558,0.7848101265822786,0.7304878048780488,0.6920438814641837,0.5172413793103448,0.6329113924050632,0.7606318347509112,0.687741935483871
rf,word,True,1.0,1,"(1, 1)",generic,stem,balanced_subsample,entropy,auto,1,2,0.7328885311027553,0.5988023952095808,0.6965620328849028,0.7885572139303482,0.7317073170731707,0.6833565290864931,0.4720496894409938,0.6249999999999999,0.7599517490952956,0.6812903225806451
rf,word,True,0.5,1,"(1, 1)",unique,stem,balanced,gini,auto,1,2,0.7328707748508783,0.6071428571428571,0.6957831325301205,0.787128712871287,0.7317073170731707,0.7058963861670318,0.5325443786982249,0.6444444444444444,0.775267538644471,0.7032258064516129
rf,word,True,0.5,1,"(1, 2)",generic,stem,balanced_subsample,gini,sqrt,1,5,0.7326720033107404,0.6,0.691131498470948,0.7915632754342431,0.7304878048780488,0.6939147048499082,0.5084745762711865,0.6274509803921569,0.7684729064039408,0.687741935483871
rf,word,True,0.25,1,"(1, 1)",generic,stem,balanced_subsample,gini,sqrt,1,5,0.7324571866728375,0.6067415730337078,0.6978851963746223,0.7849999999999999,0.7304878048780488,0.6960445809317906,0.5168539325842696,0.634862385321101,0.7666263603385732,0.6916129032258065
rf,word,True,1.0,1,"(1, 1)",generic,stem,balanced_subsample,gini,auto,1,10,0.7324346762568441,0.5894736842105263,0.6941896024464832,0.7914572864321608,0.7292682926829268,0.7079347339963976,0.5652173913043479,0.6370370370370371,0.774818401937046,0.7019354838709677
