model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,0.25,1,"(1, 1)",new,stem,0.25,0.7695854638824403,0.13157894736842105,0.8447623054270088,0.7057777777777777,0.7859139183901621,0.6389547800063478,0.14432989690721648,0.7255717255717254,0.6129277566539924,0.6642685851318945
nb,word,True,0.5,1,"(1, 1)",new,stem,0.25,0.7695854638824403,0.13157894736842105,0.8447623054270088,0.7057777777777777,0.7859139183901621,0.6389547800063478,0.14432989690721648,0.7255717255717254,0.6129277566539924,0.6642685851318945
nb,word,True,1.0,1,"(1, 1)",new,stem,0.25,0.7695854638824403,0.13157894736842105,0.8447623054270088,0.7057777777777777,0.7859139183901621,0.6389547800063478,0.14432989690721648,0.7255717255717254,0.6129277566539924,0.6642685851318945
nb,word,True,0.25,1,"(1, 2)",new,stem,0.1,0.7681921123456166,0.27586206896551724,0.8386277001270648,0.6973451327433627,0.7803242034656233,0.6443128657109582,0.25000000000000006,0.7263267429760667,0.6122137404580152,0.6666666666666666
nb,word,True,0.5,1,"(1, 2)",new,stem,0.1,0.7681921123456166,0.27586206896551724,0.8386277001270648,0.6973451327433627,0.7803242034656233,0.6443128657109582,0.25000000000000006,0.7263267429760667,0.6122137404580152,0.6666666666666666
nb,word,True,1.0,1,"(1, 2)",new,stem,0.1,0.7681921123456166,0.27586206896551724,0.8386277001270648,0.6973451327433627,0.7803242034656233,0.6443128657109582,0.25000000000000006,0.7263267429760667,0.6122137404580152,0.6666666666666666
nb,word,True,0.25,1,"(1, 3)",new,stem,0.1,0.763656642455813,0.28571428571428575,0.8382229673093042,0.6841155234657039,0.7775293460033539,0.62994741078312,0.12371134020618557,0.7197518097207859,0.6022988505747127,0.6564748201438849
nb,word,True,0.5,1,"(1, 3)",new,stem,0.1,0.763656642455813,0.28571428571428575,0.8382229673093042,0.6841155234657039,0.7775293460033539,0.62994741078312,0.12371134020618557,0.7197518097207859,0.6022988505747127,0.6564748201438849
nb,word,True,1.0,1,"(1, 3)",new,stem,0.1,0.763656642455813,0.28571428571428575,0.8382229673093042,0.6841155234657039,0.7775293460033539,0.62994741078312,0.12371134020618557,0.7197518097207859,0.6022988505747127,0.6564748201438849
nb,word,True,0.25,1,"(1, 1)",new,stem,0.1,0.7614746577650968,0.2222222222222222,0.8339702760084926,0.6919682259488086,0.7736165455561766,0.6426806479981702,0.22222222222222218,0.7262277951933125,0.6118721461187214,0.6648681055155875
nb,word,True,0.5,1,"(1, 1)",new,stem,0.1,0.7614746577650968,0.2222222222222222,0.8339702760084926,0.6919682259488086,0.7736165455561766,0.6426806479981702,0.22222222222222218,0.7262277951933125,0.6118721461187214,0.6648681055155875
nb,word,True,1.0,1,"(1, 1)",new,stem,0.1,0.7614746577650968,0.2222222222222222,0.8339702760084926,0.6919682259488086,0.7736165455561766,0.6426806479981702,0.22222222222222218,0.7262277951933125,0.6118721461187214,0.6648681055155875
nb,word,True,0.25,1,"(1, 1)",new,lemma,0.1,0.7586614369118119,0.2444444444444444,0.83206106870229,0.6849557522123892,0.7708216880939072,0.6435824961178744,0.23423423423423426,0.7232704402515723,0.6150341685649203,0.6642685851318945
nb,word,True,0.5,1,"(1, 1)",new,lemma,0.1,0.7586614369118119,0.2444444444444444,0.83206106870229,0.6849557522123892,0.7708216880939072,0.6435824961178744,0.23423423423423426,0.7232704402515723,0.6150341685649203,0.6642685851318945
nb,word,True,1.0,1,"(1, 1)",new,lemma,0.1,0.7586614369118119,0.2444444444444444,0.83206106870229,0.6849557522123892,0.7708216880939072,0.6435824961178744,0.23423423423423426,0.7232704402515723,0.6150341685649203,0.6642685851318945
nb,word,True,0.25,1,"(1, 2)",new,lemma,0.1,0.7586455294625203,0.2380952380952381,0.8340353833192924,0.6821428571428572,0.7724986025712689,0.6445733960793044,0.25000000000000006,0.7232933819697759,0.6153846153846154,0.6660671462829736
nb,word,True,0.5,1,"(1, 2)",new,lemma,0.1,0.7586455294625203,0.2380952380952381,0.8340353833192924,0.6821428571428572,0.7724986025712689,0.6445733960793044,0.25000000000000006,0.7232933819697759,0.6153846153846154,0.6660671462829736
nb,word,True,1.0,1,"(1, 2)",new,lemma,0.1,0.7586455294625203,0.2380952380952381,0.8340353833192924,0.6821428571428572,0.7724986025712689,0.6445733960793044,0.25000000000000006,0.7232933819697759,0.6153846153846154,0.6660671462829736
nb,word,True,0.25,1,"(1, 1)",new,lemma,0.25,0.7579015160624939,0.08108108108108107,0.8391140827413288,0.6876687668766875,0.776411403018446,0.6356927555348749,0.12631578947368421,0.7209543568464729,0.6123381568926123,0.6612709832134293
nb,word,True,0.5,1,"(1, 1)",new,lemma,0.25,0.7579015160624939,0.08108108108108107,0.8391140827413288,0.6876687668766875,0.776411403018446,0.6356927555348749,0.12631578947368421,0.7209543568464729,0.6123381568926123,0.6612709832134293
nb,word,True,1.0,1,"(1, 1)",new,lemma,0.25,0.7579015160624939,0.08108108108108107,0.8391140827413288,0.6876687668766875,0.776411403018446,0.6356927555348749,0.12631578947368421,0.7209543568464729,0.6123381568926123,0.6612709832134293
nb,word,True,0.25,1,"(1, 2)",new,lemma,0.01,0.7578797971705853,0.3738317757009346,0.8248490077653149,0.681699913269731,0.7652319731693683,0.6505200974156155,0.3565891472868217,0.7224576271186441,0.6171341925701288,0.6666666666666666
nb,word,True,0.5,1,"(1, 2)",new,lemma,0.01,0.7578797971705853,0.3738317757009346,0.8248490077653149,0.681699913269731,0.7652319731693683,0.6505200974156155,0.3565891472868217,0.7224576271186441,0.6171341925701288,0.6666666666666666
nb,word,True,1.0,1,"(1, 2)",new,lemma,0.01,0.7578797971705853,0.3738317757009346,0.8248490077653149,0.681699913269731,0.7652319731693683,0.6505200974156155,0.3565891472868217,0.7224576271186441,0.6171341925701288,0.6666666666666666
nb,word,True,0.25,1,"(1, 3)",new,lemma,0.1,0.7572498817946085,0.2195121951219512,0.8361817423926636,0.6763901549680947,0.7730575740637228,0.6331130972240037,0.16326530612244897,0.7190082644628099,0.6052227342549923,0.658273381294964
