model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced,entropy,sqrt,1,5,0.814639159,0.396396396,0.871035941,0.760435572,0.822247065,0.66131806,0.23628692,0.72168469,0.651266766,0.658872902
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced,gini,sqrt,1,5,0.811130734,0.406779661,0.867940552,0.754751131,0.817775293,0.677912055,0.240343348,0.730525101,0.675912409,0.673860911
rf,word,TRUE,1,1,"(1, 2)",new,stem,,gini,sqrt,1,10,0.810983662,0.329896907,0.870113493,0.75862069,0.821129122,0.676183563,0.319327731,0.745415318,0.651504035,0.691846523
rf,word,TRUE,0.25,1,"(1, 2)",new,original,balanced,gini,sqrt,1,10,0.809849741,0.411214953,0.869237217,0.748387097,0.818893236,0.669223369,0.220689655,0.722619048,0.667642753,0.65647482
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced_subsample,gini,auto,1,10,0.809791681,0.406504065,0.866040956,0.754275428,0.815539407,0.670532384,0.248120301,0.720752499,0.669101534,0.661870504
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,,gini,sqrt,1,5,0.809659374,0.32,0.868797309,0.758181818,0.819452208,0.671270731,0.35,0.742918226,0.640892193,0.68764988
rf,word,TRUE,1,1,"(1, 2)",new,stem,,gini,auto,1,10,0.809483876,0.323232323,0.869894737,0.755434783,0.819452208,0.680791263,0.307692308,0.749326146,0.658357771,0.696642686
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced_subsample,gini,auto,1,10,0.809472058,0.427350427,0.865952891,0.751332149,0.815539407,0.678070529,0.263157895,0.725014784,0.678752719,0.669064748
rf,word,TRUE,0.5,1,"(1, 1)",new,stem,balanced_subsample,gini,sqrt,1,10,0.809419467,0.453900709,0.865542585,0.74911032,0.81274455,0.680962483,0.255319149,0.731414868,0.67965368,0.669664269
rf,word,TRUE,1,1,"(1, 2)",new,original,balanced_subsample,gini,auto,1,10,0.808915507,0.423076923,0.869237217,0.744485294,0.818334265,0.662170818,0.210169492,0.71291866,0.663257852,0.648081535
