model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.25,1,"(1, 3)",new,stem,1.5,,scale,sigmoid,0.8029014660823776,0.3,0.8658484976724502,0.7461883408071749,0.8127445500279485,0.6758596666137987,0.4393939393939394,0.7440127727514636,0.6399999999999999,0.6906474820143885
svm,word,True,0.5,1,"(1, 3)",new,stem,1.5,,scale,sigmoid,0.8029014660823776,0.3,0.8658484976724502,0.7461883408071749,0.8127445500279485,0.6758596666137987,0.4393939393939394,0.7440127727514636,0.6399999999999999,0.6906474820143885
svm,word,True,1.0,1,"(1, 3)",new,stem,1.5,,scale,sigmoid,0.8029014660823776,0.3,0.8658484976724502,0.7461883408071749,0.8127445500279485,0.6758596666137987,0.4393939393939394,0.7440127727514636,0.6399999999999999,0.6906474820143885
svm,word,True,0.25,1,"(1, 2)",new,stem,1.5,,scale,sigmoid,0.7988149103522795,0.2828282828282829,0.8616165890816759,0.7437275985663082,0.8088317495807714,0.6711379902901338,0.44274809160305345,0.7405835543766578,0.6333333333333333,0.6864508393285371
svm,word,True,0.5,1,"(1, 2)",new,stem,1.5,,scale,sigmoid,0.7988149103522795,0.2828282828282829,0.8616165890816759,0.7437275985663082,0.8088317495807714,0.6711379902901338,0.44274809160305345,0.7405835543766578,0.6333333333333333,0.6864508393285371
svm,word,True,1.0,1,"(1, 2)",new,stem,1.5,,scale,sigmoid,0.7988149103522795,0.2828282828282829,0.8616165890816759,0.7437275985663082,0.8088317495807714,0.6711379902901338,0.44274809160305345,0.7405835543766578,0.6333333333333333,0.6864508393285371
svm,word,True,0.25,1,"(1, 1)",new,original,1.5,,scale,sigmoid,0.7972111072853311,0.3191489361702128,0.8640856672158155,0.7310606060606061,0.810508664058133,0.6593075887580966,0.31007751937984496,0.7377824487651078,0.6257668711656441,0.6774580335731415
svm,word,True,0.5,1,"(1, 1)",new,original,1.5,,scale,sigmoid,0.7972111072853311,0.3191489361702128,0.8640856672158155,0.7310606060606061,0.810508664058133,0.6593075887580966,0.31007751937984496,0.7377824487651078,0.6257668711656441,0.6774580335731415
svm,word,True,1.0,1,"(1, 1)",new,original,1.5,,scale,sigmoid,0.7972111072853311,0.3191489361702128,0.8640856672158155,0.7310606060606061,0.810508664058133,0.6593075887580966,0.31007751937984496,0.7377824487651078,0.6257668711656441,0.6774580335731415
svm,word,True,0.25,1,"(1, 2)",new,stem,1.0,,scale,sigmoid,0.7944057023732946,0.18823529411764706,0.8635051546391753,0.7378277153558053,0.8099496925656792,0.6630657934225411,0.43750000000000006,0.7366771159874608,0.6213292117465224,0.6804556354916067
svm,word,True,0.5,1,"(1, 2)",new,stem,1.0,,scale,sigmoid,0.7944057023732946,0.18823529411764706,0.8635051546391753,0.7378277153558053,0.8099496925656792,0.6630657934225411,0.43750000000000006,0.7366771159874608,0.6213292117465224,0.6804556354916067
svm,word,True,1.0,1,"(1, 2)",new,stem,1.0,,scale,sigmoid,0.7944057023732946,0.18823529411764706,0.8635051546391753,0.7378277153558053,0.8099496925656792,0.6630657934225411,0.43750000000000006,0.7366771159874608,0.6213292117465224,0.6804556354916067
svm,word,True,0.25,1,"(1, 3)",new,lemma,1.5,,scale,sigmoid,0.7926566853632581,0.26086956521739135,0.8616535105941006,0.7284522706209453,0.8060368921185019,0.6631316781539064,0.39062500000000006,0.73389651531151,0.6286149162861492,0.6792565947242206
svm,word,True,0.5,1,"(1, 3)",new,lemma,1.5,,scale,sigmoid,0.7926566853632581,0.26086956521739135,0.8616535105941006,0.7284522706209453,0.8060368921185019,0.6631316781539064,0.39062500000000006,0.73389651531151,0.6286149162861492,0.6792565947242206
svm,word,True,1.0,1,"(1, 3)",new,lemma,1.5,,scale,sigmoid,0.7926566853632581,0.26086956521739135,0.8616535105941006,0.7284522706209453,0.8060368921185019,0.6631316781539064,0.39062500000000006,0.73389651531151,0.6286149162861492,0.6792565947242206
svm,word,True,0.25,1,"(1, 1)",new,stem,1.5,,scale,sigmoid,0.79248324504887,0.25263157894736843,0.8591666666666667,0.7331486611265003,0.8049189491335942,0.660401471824748,0.34375000000000006,0.7392218717139853,0.6232771822358346,0.6786570743405276
svm,word,True,0.5,1,"(1, 1)",new,stem,1.5,,scale,sigmoid,0.79248324504887,0.25263157894736843,0.8591666666666667,0.7331486611265003,0.8049189491335942,0.660401471824748,0.34375000000000006,0.7392218717139853,0.6232771822358346,0.6786570743405276
svm,word,True,1.0,1,"(1, 1)",new,stem,1.5,,scale,sigmoid,0.79248324504887,0.25263157894736843,0.8591666666666667,0.7331486611265003,0.8049189491335942,0.660401471824748,0.34375000000000006,0.7392218717139853,0.6232771822358346,0.6786570743405276
svm,word,True,0.25,1,"(1, 1)",new,stem,1.5,balanced,scale,rbf,0.7921524473967791,0.4132231404958678,0.8487972508591066,0.7333923826395039,0.7976523197316937,0.6614842071598578,0.2666666666666667,0.7284768211920529,0.6425884123401053,0.6672661870503597
svm,word,True,0.5,1,"(1, 1)",new,stem,1.5,balanced,scale,rbf,0.7921524473967791,0.4132231404958678,0.8487972508591066,0.7333923826395039,0.7976523197316937,0.6614842071598578,0.2666666666666667,0.7284768211920529,0.6425884123401053,0.6672661870503597
