Unnamed: 0,restaurant_code,review_title,review_body,account_name,account_id,aspect,phrase,phrase_no_aspect,phrase_no_noun,label,new_aspect_1,new_aspect_2
0,Mar-03,What's Marché Without Rösti,I wonder how they nv overcooked their rösti...,Raine Liu,@rainraineeataway,food,"nv, overcooked, rösti","['nv', 'overcooked']","['nv', 'overcooked']",1,food,food
1,the-rabbit-stash,Degustation,Not bad taste but overpriced,Kevin Lim,@45880,food,"bad, taste",['bad'],"['bad', 'taste']",-1,food,food
2,workspace,Almond croissant $3.80,"Got very disappointed with the almond croissant $3.80 @workspaceespresso newly opened eatery in Velocity Novena
Quite dry with no almond filling. We won’t mind paying more to get a decent quality.😔
.
.
.
.
.
.
.
📍Workspace Espresso Bar
Novena Square",Kugel Kaffee,@KugelKaffee,food,"almond, croissant",[],"['almond', 'croissant']",0,food,
3,workspace,Almond croissant $3.80,"Got very disappointed with the almond croissant $3.80 @workspaceespresso newly opened eatery in Velocity Novena
Quite dry with no almond filling. We won’t mind paying more to get a decent quality.😔
.
.
.
.
.
.
.
📍Workspace Espresso Bar
Novena Square",Kugel Kaffee,@KugelKaffee,food,"quite, dry, no, almond, filling","['quite', 'dry', 'no', 'filling']","['quite', 'dry', 'no', 'almond', 'filling']",-1,food,food
4,workspace,Almond croissant $3.80,"Got very disappointed with the almond croissant $3.80 @workspaceespresso newly opened eatery in Velocity Novena
Quite dry with no almond filling. We won’t mind paying more to get a decent quality.😔
.
.
.
.
.
.
.
📍Workspace Espresso Bar
Novena Square",Kugel Kaffee,@KugelKaffee,food,"decent, quality","['decent', 'quality']",['decent'],1,food,food
5,workbench-bistro,One of the worst tasting waffles I've ever eaten.,Not even the coffee can salvage it. The waffle taste like the batter was made using plain water. 😠😒,Randy Lim,@randylim,food,"worst, tasting, waffles, 've, ever","['worst', 'tasting', 'waffles', ""'ve"", 'ever']","['worst', 'tasting', 'waffles', ""'ve"", 'ever']",-1,food,food
6,workbench-bistro,One of the worst tasting waffles I've ever eaten.,Not even the coffee can salvage it. The waffle taste like the batter was made using plain water. 😠😒,Randy Lim,@randylim,food,salvage,['salvage'],[],0,,
7,workbench-bistro,One of the worst tasting waffles I've ever eaten.,Not even the coffee can salvage it. The waffle taste like the batter was made using plain water. 😠😒,Randy Lim,@randylim,food,"batter, made, using, plain, water","['batter', 'made', 'using', 'plain']","['made', 'using', 'plain']",0,food,food
8,workbench-bistro,Mala Pasta,"Fried chicken was tough
Pasta not cooked properly
Mala taste is alright but quite oily ",Lim Hui Xian,@ahkiam,food,"fried, chicken, tough, pasta, not, cooked, properly, mala, taste","['fried', 'tough', 'not', 'cooked', 'properly', 'mala']","['fried', 'tough', 'not', 'cooked', 'properly', 'taste']",-1,food,food
9,the-60s,"Watery Porridge At The Sixties, Chinatown Complex","Very bad experience, rude store attendant, shouts at customer and porridge is watery with century egg dumped in. Will not come back. See photo.",Matt Saracen,@mattsaracen,food,"porridge, sixties, chinatown, complexvery, bad, experience","['sixties', 'chinatown', 'complexvery', 'bad', 'experience']","['chinatown', 'bad']",-1,food,food
