restaurant_code,review_title,review_body,account_name,account_id,aspect,phrase,phrase_no_aspect,phrase_no_noun,new_aspect_1,new_aspect_2,label
2lhaZp7B,So glad the weekend is here and I can finally take a little breather.,"Breakfast with the husband this morning at Gen Shu Mei Shi Shi Jia in Toa Payoh. Both of us were trying to go on a low carb diet but obviously, it's our cheat day. 😂😂😂 Still very much in love with Gen Shu's yam cake and glutinous rice. Have a wonderful Friday everyone!
Address: Toa Payoh Lorong 4, Block 74 Food Centre #01-03",Maureen Ow,@72128,food,"cheat, day","['cheat', 'day']",['cheat'],,,0
2lhaZp7B,So glad the weekend is here and I can finally take a little breather.,"Breakfast with the husband this morning at Gen Shu Mei Shi Shi Jia in Toa Payoh. Both of us were trying to go on a low carb diet but obviously, it's our cheat day. 😂😂😂 Still very much in love with Gen Shu's yam cake and glutinous rice. Have a wonderful Friday everyone!
Address: Toa Payoh Lorong 4, Block 74 Food Centre #01-03",Maureen Ow,@72128,food,"glutinous, rice",['glutinous'],['glutinous'],food,,0
2lhaZp7B,My Saturday morning started with breakfast at 根叔美食世家 @ Toa Payoh Lorong 4.,"It is so inspiring talking to Uncle Kun as he shares his stories and principles as a chef. We truly enjoyed his Cantonese style congee, it is well seasoned and very generous with the ingredients. :)",Maureen Ow,@72128,food,"cantonese, style, congee, well, seasoned, generous","['cantonese', 'style', 'well', 'seasoned']","['well', 'seasoned', 'generous']",food,food,1
2lhaZp7B,My Saturday morning started with breakfast at 根叔美食世家 @ Toa Payoh Lorong 4.,"It is so inspiring talking to Uncle Kun as he shares his stories and principles as a chef. We truly enjoyed his Cantonese style congee, it is well seasoned and very generous with the ingredients. :)",Maureen Ow,@72128,portion,"well, seasoned, generous, ingredients","['well', 'seasoned']","['well', 'seasoned', 'generous']",portion,portion,1
2lhaZp7B,03 Jan 2018 my comfort food..,"Lunar New Year is approaching.. 根叔 Gen Shu is gearing up for their #CNYgoodies. For those who are curious, 根叔美食世家是新加坡独一无二的,没有其他分销店或分店。 Uncle Kun's Delights is the one and only with no other distribution outlets or branches in Singapore. All photos are copyrighted by ©BobcatSysOp YK Chan. These posts are non sponsored products where no incentives or financial gains are given. #olympusOmdEm10 #MZuikoED14to42mmLens #sgfoodie #sgfoodies #burpple #burpplesg #OlympusMconP02 #P02MacroConverter
#ToaPayohBlk74Lor4 #GenShuMeiShiShiJia #根叔美食世家 #UncleKunDelights #KunShuFoodStall #01-03 Blk 74, Lorong 4 Toa Payoh, S(310074) Opening hours: 7am till sold out by around lunch time or 12 noon. Closed 2 days a week on Mondays and Tuesdays.Tel: +65 9640 5752 at - 根叔美食世家.",Bobcatsysop YK Chan,@BobcatSysOp,time,"sold, around, lunch, time","['sold', 'around', 'lunch']","['sold', 'around']",,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"instead, went, pig, congee, lo, mai, kai, crystal, dumplings, total, damage, food, photo","['instead', 'went', 'lo', 'mai', 'kai', 'crystal', 'dumplings', 'total', 'damage', 'food', 'photo']","['instead', 'went', 'lo', 'total']",food,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,probably,['probably'],['probably'],,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"rice, seem",['seem'],['seem'],food,,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"normal, sticky, glutinous","['normal', 'sticky', 'glutinous']","['normal', 'sticky', 'glutinous']",food,food,0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,"Since my exercise class cancelled I instead went to pig out with congee, Lo Mai Kai and crystal dumplings (total damage for all food in photo was $15), which probably was overkill for 2pax. Lo Mai Kai was recommended as an unusual offering as it is made in house and the rice didn't seem to be the normal sticky glutinous variety. Crystal dumplings were recommended by the stall but I didn't really like the sourness of the sauce. Next time will just stick to the congee which was so smooth it was criminal (bonus that it was not salty too). Fun fact: the friendly owner was the head chef at mouth restaurant before he decided to open up a hawker stall selling his Cantonese fare.
Note: Stall usually runs out during lunch (1pm). #sgfood #sghawker #sgfoodie #congee #lomaikai #porridge #cantonese #breakfast #singaporeeats #singaporefood #burpple",Lynn Kwek,@linnidity,food,"really, like","['really', 'like']","['really', 'like']",food,,1
