,restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,label
0,-9De6TTX,"15 September 2017: Because husband knows best 💕, we just left this place with satisfaction in our tummies 😋
He knew how much I was craving for Chong Qing grilled fish after we had it two weeks ago and since it was so good, we were back here earlier for late dinner!",Bernice Sim,food,grilled fish good,grilled fish good,grill fish good,1
1,-9De6TTX,"15 September 2017: Because husband knows best 💕, we just left this place with satisfaction in our tummies 😋
He knew how much I was craving for Chong Qing grilled fish after we had it two weeks ago and since it was so good, we were back here earlier for late dinner!",Bernice Sim,service,good,good,good,1
2,130-dim-sum-tampines,$1.30 dim sum,Ryan & Nat,food,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tast decent,0
3,2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,Lynn Kwek,food,instead went pig congee lo mai kai crystal dumplings total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,instead went pig congee lo mai kai crystal dumpling total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,instead went pig conge lo mai kai crystal dumpl total damag food photo rice normal sticki glutin like not salti lomaikai porridg time stick conge smooth crimin bonu not salti,1
4,2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,Lynn Kwek,service,fun fact friendly owner,fun fact friendly owner,fun fact friendli owner,1
5,2lhaZp7B,My Saturday morning started with breakfast at 根叔美食世家 @ Toa Payoh Lorong 4.,Maureen Ow,food,cantonese style congee seasoned generous,cantonese style congee seasoned generous,cantones style conge season gener,1
6,2lhaZp7B,My Saturday morning started with breakfast at 根叔美食世家 @ Toa Payoh Lorong 4.,Maureen Ow,portion,seasoned generous ingredients,seasoned generous ingredient,season gener ingredi,1
7,2lhaZp7B,So glad the weekend is here and I can finally take a little breather.,Maureen Ow,food,glutinous rice,glutinous rice,glutin rice,0
8,328-katong-laksa,328 Katong Laksa,Joshua Sim,food,laksadelicious laksa,laksadelicious laksa,laksadelici laksa,1
9,328-katong-laksa,328 Katong Laksa [Approx $6 for small] • The only kind of laksa that you only eat with a spoon.,Cassandra Chew,food,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,0
10,328-katong-laksa,328 Katong Laksa [Approx $6 for small] • The only kind of laksa that you only eat with a spoon.,Cassandra Chew,portion,laksa approx small kind laksa eat,laksa approx small kind laksa eat,laksa approx small kind laksa eat,-1
11,328-katong-laksa,328 Katong Laksa.,Just A Fat Boi,food,laksa lemak rice noodles cut small pieces feels weird genius bowl otah otah laksa,laksa lemak rice noodle cut small piece feel weird genius bowl otah otah laksa,laksa lemak rice noodl cut small piec feel weird geniu bowl otah otah laksa,-1
12,328-katong-laksa,328 katong laksa again.,Seth Lui,food,katong laksa,katong laksa,katong laksa,0
13,328-katong-laksa,Bought 328 Katong Laksa for dinner!,En Guo Teo,food,katong laksa satisfied craving,katong laksa satisfied craving,katong laksa satisfi crave,1
14,328-katong-laksa,Buying laksa for mom's lunch.,Gardenia Ong,food,katong lunch,katong lunch,katong lunch,0
15,328-katong-laksa,Famous #katong #laksa #yummy #foodporn,Loon Wah,food,katong laksa,katong laksa,katong laksa,0
16,328-katong-laksa,Famous Katong Laksa.,Alan Tan,portion,medium size medium size,medium size medium size,medium size medium size,0
17,328-katong-laksa,Finally katong laksa!,Felicia Levina,food,yummy,yummy,yummi,1
18,328-katong-laksa,Having some Katong Laksa that got the Bib Gourmand by MG.,Keropok Man,food,katong laksa got bib gourmand,katong laksa got bib gourmand,katong laksa got bib gourmand,0
19,328-katong-laksa,I was actually craving for this 328 katong laksa for weeks..,Spoons Of Delights,food,katong laksa weeks no chopsticks beehoon kind longer eaten eat laksa flavourful coconuty soup spicy katonglaksa,katong laksa week no chopstick beehoon kind longer eaten eat laksa flavourful coconuty soup spicy katonglaksa,katong laksa week no chopstick beehoon kind longer eaten eat laksa flavour coconuti soup spici katonglaksa,1
20,328-katong-laksa,"In the eastern hood of Singapore, which is really foodie land.",Daniel Food Diary,food,ramsay laksa,ramsay laksa,ramsay laksa,0
21,328-katong-laksa,Katong Laksa,Bryan Soh,food,katong laksa special famous authentic katong laksa,katong laksa special famous authentic katong laksa,katong laksa special famou authent katong laksa,1
22,328-katong-laksa,Katong Laksa,Bryan Soh,time,time,time,time,0
23,328-katong-laksa,Katong Laksa,Gildon Choo,food,cravings laksa goes signature katong,craving laksa go signature katong,crave laksa goe signatur katong,1
24,328-katong-laksa,Katong Laksa,Jodie Hia,food,katong laksa,katong laksa,katong laksa,0
25,328-katong-laksa,Katong Laksa ($5.50),Shaun Sim,food,expect laksa taste good not exceptional sadly waste money taste good not exceptional sadly waste money,expect laksa taste good not exceptional sadly waste money taste good not exceptional sadly waste money,expect laksa tast good not except sadli wast money tast good not except sadli wast money,-1
26,328-katong-laksa,Katong Laksa ($5.50),Shaun Sim,price,waste money,waste money,wast money,-1
27,328-katong-laksa,Katong Laksa With Onsen Egg,Regina Xie,food,laksa onsen egglovely edition egg,laksa onsen egglovely edition egg,laksa onsen egglov edit egg,1
28,328-katong-laksa,Laksa,Super C,portion,small portion,small portion,small portion,-1
29,328-katong-laksa,Laksa [$5.50],Wei Zhi Chiang,food,impressed,impressed,impress,1
30,328-katong-laksa,Laksa [$5.50],Wei Zhi Chiang,price,felt kinda pricey kinda pricey portion,felt kinda pricey kinda pricey portion,felt kinda pricey kinda pricey portion,-1
31,328-katong-laksa,Laksa time @xiaoxi133 #katong #lsksa #sg #foodporn #foodgasm #instafood #instadaily #iphonesia,Felicia Levina,food,time xiaoxi katong lsksa time xiaoxi katong lsksa,time xiaoxi katong lsksa time xiaoxi katong lsksa,time xiaoxi katong lsksa time xiaoxi katong lsksa,0
32,328-katong-laksa,Laksaaaa,Dino .,food,katong laksa,katong laksa,katong laksa,0
33,328-katong-laksa,Let's just keep eating 'cause it's FRIDAY.,Vanessa Lee,food,nice nicer,nice nicer,nice nicer,1
34,328-katong-laksa,Rainy days are laksa days...,Rafi Dean,food,rainy days laksa noms noodles,rainy day laksa noms noodle,raini day laksa nom noodl,0
35,328-katong-laksa,Satisfying Laksa at 328 Katong Laksa!,Joe Yang,food,katong laksa,katong laksa,katong laksa,0
36,328-katong-laksa,That Chilli Packet Tho...,Eatssentially .,food,laksa laksa,laksa laksa,laksa laksa,0
37,328-katong-laksa,That Chilli Packet Tho...,Eatssentially .,portion,big laksa,big laksa,big laksa,1
38,328-katong-laksa,That Chilli Packet Tho...,Eatssentially .,time,waiting time no waiting waiting time no waiting,waiting time no waiting waiting time no waiting,wait time no wait wait time no wait,1
39,328-katong-laksa,"The Michelin rated 328 Katong Laksa
Katong Laksa (small bowl) - $5.50 **For me, it tasted like the prima taste of Singapore Laksa...Nothing to shout about..",Calvin Lam Tuck Mun,food,tasted like prima taste singapore laksa katong laksa katong,tasted like prima taste singapore laksa katong laksa katong,tast like prima tast singapor laksa katong laksa katong,0
40,328-katong-laksa,"The Michelin rated 328 Katong Laksa
Katong Laksa (small bowl) - $5.50 **For me, it tasted like the prima taste of Singapore Laksa...Nothing to shout about..",Calvin Lam Tuck Mun,portion,small small bowl,small small bowl,small small bowl,-1
41,328-katong-laksa,The ONLY laksa I eat is 328 katong laksa.,Spoons Of Delights,food,laksa eat,laksa eat,laksa eat,0
42,328-katong-laksa,What's the Hype?,Kahlen O,ambience,air conditioning coild barely felt,air conditioning coild barely felt,air condit coild bare felt,-1
43,328-katong-laksa,What's the Hype?,Kahlen O,food,katong laksa bowl mediocre katong laksa,katong laksa bowl mediocre katong laksa,katong laksa bowl mediocr katong laksa,-1
44,328-katong-laksa,What's the Hype?,Kahlen O,price,think worth premium price worth premium price,think worth premium price worth premium price,think worth premium price worth premium price,1
45,328-katong-laksa,What's the Hype?,Kahlen O,service,hostile tables clean bad service,hostile table clean bad service,hostil tabl clean bad servic,-1
