Unnamed: 0,restaurant_code,review_title,review_body,account_name,account_id,aspect,phrase,phrase_no_aspect,phrase_no_noun,label,new_aspect_1,new_aspect_2
3108,lao-zhong-zhong-eating-house,"Never thought myself much of a Ngoh Hiang person till recently, when the crispy crackers and greasy swishy prawn rolls lure my palate relentlessly.","#food #foodie #foodblog #fooddiary #foodjournal #fotd #foodstagram
#foodpic #foodreview #foodlover #foodporn #foodgasm #foodgram
#instafood #igfood #foodspotting #whati8today #thearcticstar #hungrygowhere #burpple #openricesg
#ngohhiang #8dayseat #laozhongzhong
#laozhongzhongeatinghouse",Elle Night,@thearcticstar,food,"swishy, prawn, rolls, lure, palate","['swishy', 'rolls', 'lure', 'palate']","['swishy', 'rolls']",0,food,food
3109,lawn-foodcourt-food-haven,"Lunch at the school canteen, Rendang ayam with brown rice (seemingly a healthier alternative).",I still feel fortunate to be in a country where we can still get a very diverse range of food. Let's count our blessings.,Daniel Food Diary,@DanielFoodDiary,food,"ayam, brown, rice, seemingly, healthier","['ayam', 'brown', 'seemingly', 'healthier']","['brown', 'seemingly', 'healthier']",0,food,food
3110,lawn-foodcourt-food-haven,Happiness is finding a new Salad Stall at your school canteen.,"The stall called Crowded Bowl is usually crowded, look at the queue!
3 basic ingredients for $3. I didn't know students also liked salads - thought they usually go for Western food.
My colleague remarked ""Harder to be youths now. Need to look good and lose weight."" Anyway, I hope the stall can come up with new toppings & dressings. Variety! #eatwellwithraffles",Daniel Food Diary,@DanielFoodDiary,food,"new, salad, stall, school","['new', 'stall', 'school']","['new', 'salad']",0,food,
3111,lawn-foodcourt-food-haven,Happiness is finding a new Salad Stall at your school canteen.,"The stall called Crowded Bowl is usually crowded, look at the queue!
3 basic ingredients for $3. I didn't know students also liked salads - thought they usually go for Western food.
My colleague remarked ""Harder to be youths now. Need to look good and lose weight."" Anyway, I hope the stall can come up with new toppings & dressings. Variety! #eatwellwithraffles",Daniel Food Diary,@DanielFoodDiary,food,"look, good, lose, weight","['look', 'lose', 'weight']","['look', 'good', 'lose']",0,,
3112,lawn-foodcourt-food-haven,Happiness is finding a new Salad Stall at your school canteen.,"The stall called Crowded Bowl is usually crowded, look at the queue!
3 basic ingredients for $3. I didn't know students also liked salads - thought they usually go for Western food.
My colleague remarked ""Harder to be youths now. Need to look good and lose weight."" Anyway, I hope the stall can come up with new toppings & dressings. Variety! #eatwellwithraffles",Daniel Food Diary,@DanielFoodDiary,time,"look, queue",['look'],['look'],-1,time,time
3113,lawn-foodcourt-food-haven,Happiness is finding a new Salad Stall at your school canteen.,"The stall called Crowded Bowl is usually crowded, look at the queue!
3 basic ingredients for $3. I didn't know students also liked salads - thought they usually go for Western food.
My colleague remarked ""Harder to be youths now. Need to look good and lose weight."" Anyway, I hope the stall can come up with new toppings & dressings. Variety! #eatwellwithraffles",Daniel Food Diary,@DanielFoodDiary,time,"basic, ingredients",['basic'],['basic'],0,food,food
3114,lawn-foodcourt-food-haven,Happiness is finding a new Salad Stall at your school canteen.,"The stall called Crowded Bowl is usually crowded, look at the queue!
3 basic ingredients for $3. I didn't know students also liked salads - thought they usually go for Western food.
My colleague remarked ""Harder to be youths now. Need to look good and lose weight."" Anyway, I hope the stall can come up with new toppings & dressings. Variety! #eatwellwithraffles",Daniel Food Diary,@DanielFoodDiary,portion,"basic, ingredients",['basic'],['basic'],0,food,food
3115,lawn-foodcourt-food-haven,Happiness is finding a new Salad Stall at your school canteen.,"The stall called Crowded Bowl is usually crowded, look at the queue!
3 basic ingredients for $3. I didn't know students also liked salads - thought they usually go for Western food.
My colleague remarked ""Harder to be youths now. Need to look good and lose weight."" Anyway, I hope the stall can come up with new toppings & dressings. Variety! #eatwellwithraffles",Daniel Food Diary,@DanielFoodDiary,service,"look, good, lose, weight","['look', 'lose', 'weight']","['look', 'good', 'lose']",0,,
3116,lawn-foodcourt-food-haven,"Ended up in RP for lunch today and stumbled upon this waffle store Iisted as one of the ""10 best eats in Singapore's School Campuses"" by @hungrygowhere.","The waffle was crispy and topped with homemade filling but nothing to rave about really. If anything, the peanut filling was too salty :/
.
.
.
.
.
.
#burpple #sgfoodie #sgfoodies #sgfood #sgfoodscream #foodsg #sgcafe #sgcafe #sgig #igsg #sgdining #stfoodtrending #whati8today #8dayseat #foodie #foodporn #foodphotography #foodphoto #onthetable #exploresingaporeeats #fotd #eatsnapgive #dessert #openricesg #waffles #toyota",Shaun Sim,@shaunsimjaykay,food,"stumbled, upon, waffle, store, iisted, one, ``, best, eats, singapore, school, campuses, ``","['stumbled', 'upon', 'store', 'iisted', 'one', '``', 'best', 'eats', 'singapore', 'school', 'campuses', '``']","['stumbled', 'upon', 'waffle', 'iisted', 'one', '``', 'best', 'eats', '``']",1,food,food
3117,lawn-foodcourt-food-haven,"Ended up in RP for lunch today and stumbled upon this waffle store Iisted as one of the ""10 best eats in Singapore's School Campuses"" by @hungrygowhere.","The waffle was crispy and topped with homemade filling but nothing to rave about really. If anything, the peanut filling was too salty :/
.
.
.
.
.
.
#burpple #sgfoodie #sgfoodies #sgfood #sgfoodscream #foodsg #sgcafe #sgcafe #sgig #igsg #sgdining #stfoodtrending #whati8today #8dayseat #foodie #foodporn #foodphotography #foodphoto #onthetable #exploresingaporeeats #fotd #eatsnapgive #dessert #openricesg #waffles #toyota",Shaun Sim,@shaunsimjaykay,food,"crispy, topped, homemade","['crispy', 'topped', 'homemade']","['crispy', 'topped', 'homemade']",0,food,food
3118,lawn-foodcourt-food-haven,"Ended up in RP for lunch today and stumbled upon this waffle store Iisted as one of the ""10 best eats in Singapore's School Campuses"" by @hungrygowhere.","The waffle was crispy and topped with homemade filling but nothing to rave about really. If anything, the peanut filling was too salty :/
.
.
.
.
.
.
#burpple #sgfoodie #sgfoodies #sgfood #sgfoodscream #foodsg #sgcafe #sgcafe #sgig #igsg #sgdining #stfoodtrending #whati8today #8dayseat #foodie #foodporn #foodphotography #foodphoto #onthetable #exploresingaporeeats #fotd #eatsnapgive #dessert #openricesg #waffles #toyota",Shaun Sim,@shaunsimjaykay,food,"rave, really","['rave', 'really']","['rave', 'really']",0,food,food
3119,lawn-foodcourt-food-haven,"Ended up in RP for lunch today and stumbled upon this waffle store Iisted as one of the ""10 best eats in Singapore's School Campuses"" by @hungrygowhere.","The waffle was crispy and topped with homemade filling but nothing to rave about really. If anything, the peanut filling was too salty :/
.
.
.
.
.
.
#burpple #sgfoodie #sgfoodies #sgfood #sgfoodscream #foodsg #sgcafe #sgcafe #sgig #igsg #sgdining #stfoodtrending #whati8today #8dayseat #foodie #foodporn #foodphotography #foodphoto #onthetable #exploresingaporeeats #fotd #eatsnapgive #dessert #openricesg #waffles #toyota",Shaun Sim,@shaunsimjaykay,food,"filling, salty","['filling', 'salty']","['filling', 'salty']",-1,food,food
3120,lawn-foodcourt-food-haven,The Crowded Bowl,Awesome $3 salad!!!,Cheryl Cheah,@whoischeryl,food,"crowded, bowlawesome, salad","['crowded', 'bowlawesome']","['crowded', 'salad']",1,food,food
3121,lawn-foodcourt-food-haven,$3 Salad,"""Crowded Bowl"" is definitely one of my favourite salad place to eat well, salad. It pretty much does fills my stomach & its definitely dirt cheap as compared to the other salad places available outside. Their corn & Dried tofu skin is the definite must-eat!!",Odd py,@foodhooo,food,"favourite, salad, place",['favourite'],"['favourite', 'salad']",1,food,food
3122,lawn-foodcourt-food-haven,$3 Salad,"""Crowded Bowl"" is definitely one of my favourite salad place to eat well, salad. It pretty much does fills my stomach & its definitely dirt cheap as compared to the other salad places available outside. Their corn & Dried tofu skin is the definite must-eat!!",Odd py,@foodhooo,food,"eat, well","['eat', 'well']","['eat', 'well']",0,food,
3123,lawn-foodcourt-food-haven,$3 Salad,"""Crowded Bowl"" is definitely one of my favourite salad place to eat well, salad. It pretty much does fills my stomach & its definitely dirt cheap as compared to the other salad places available outside. Their corn & Dried tofu skin is the definite must-eat!!",Odd py,@foodhooo,food,"places, available","['places', 'available']",['available'],0,,
3124,lawn-foodcourt-food-haven,$3 Salad,"""Crowded Bowl"" is definitely one of my favourite salad place to eat well, salad. It pretty much does fills my stomach & its definitely dirt cheap as compared to the other salad places available outside. Their corn & Dried tofu skin is the definite must-eat!!",Odd py,@foodhooo,food,"dried, tofu, skin","['dried', 'skin']",['dried'],0,food,
3125,lawn-foodcourt-food-haven,$3 Salad,"""Crowded Bowl"" is definitely one of my favourite salad place to eat well, salad. It pretty much does fills my stomach & its definitely dirt cheap as compared to the other salad places available outside. Their corn & Dried tofu skin is the definite must-eat!!",Odd py,@foodhooo,price,"fills, stomach, definitely, dirt, cheap, compared, salad, places, available, outside","['fills', 'stomach', 'definitely', 'dirt', 'compared', 'places', 'available', 'outside']","['fills', 'definitely', 'cheap', 'compared', 'salad', 'available', 'outside']",1,price,price
3126,lawn-foodcourt-food-haven,$3 Salad,"""Crowded Bowl"" is definitely one of my favourite salad place to eat well, salad. It pretty much does fills my stomach & its definitely dirt cheap as compared to the other salad places available outside. Their corn & Dried tofu skin is the definite must-eat!!",Odd py,@foodhooo,ambience,"favourite, salad, place, eat, well","['favourite', 'eat', 'well']","['favourite', 'salad', 'eat', 'well']",1,food,food
3127,le-chaseur-new-branch,Back at #lechasseur after 2 years for mother's day celebration with bf's family.,"We waited 1.5hr for this claypot chicken rice! Thankfully it was still as nice! Bbq sotong was nicely grilled. Coffee pork ribs was soo tender that it came off the bone easily (as compared to some other zhichar restaurant that we dined at recently). Otah omlette was also interesting with prawn bits in it. Tau suan was served hot with freshly fried crispy you tiao. Ending it off with grass jelly dessert which came with goji berries too. Meal for 5 was $70+ (plus another dish of veg. since I don't eat veg, no veg is featured here hehe) #burpple #burpplesg",Spoons Of Delights,@spoonsofdelights,food,"nicely, grilled","['nicely', 'grilled']","['nicely', 'grilled']",1,food,food
3128,le-chaseur-new-branch,Back at #lechasseur after 2 years for mother's day celebration with bf's family.,"We waited 1.5hr for this claypot chicken rice! Thankfully it was still as nice! Bbq sotong was nicely grilled. Coffee pork ribs was soo tender that it came off the bone easily (as compared to some other zhichar restaurant that we dined at recently). Otah omlette was also interesting with prawn bits in it. Tau suan was served hot with freshly fried crispy you tiao. Ending it off with grass jelly dessert which came with goji berries too. Meal for 5 was $70+ (plus another dish of veg. since I don't eat veg, no veg is featured here hehe) #burpple #burpplesg",Spoons Of Delights,@spoonsofdelights,food,"soo, tender, came, bone, easily, compared, zhichar, restaurant, dined, recently","['soo', 'came', 'bone', 'easily', 'compared', 'zhichar', 'restaurant', 'dined', 'recently']","['came', 'easily', 'compared', 'zhichar', 'dined', 'recently']",1,food,food
