,restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,label
0,2lhaZp7B,03 Jan 2018 my comfort food..,Bobcatsysop YK Chan,time,sold lunch time noon,sold lunch time noon,sold lunch time noon,0
1,2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,Lynn Kwek,food,went pig congee lo mai kai crystal dumplings total damage food photo rice normal sticky glutinous sourness smooth not salty sghawker sgfoodie time stick congee smooth not salty,went pig congee lo mai kai crystal dumpling total damage food photo rice normal sticky glutinous sourness smooth not salty sghawker sgfoodie time stick congee smooth not salty,went pig conge lo mai kai crystal dumpl total damag food photo rice normal sticki glutin sour smooth not salti sghawker sgfoodi time stick conge smooth not salti,1
2,2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,Lynn Kwek,service,friendly owner,friendly owner,friendli owner,1
3,2lhaZp7B,My Saturday morning started with breakfast at 根叔美食世家 @ Toa Payoh Lorong 4.,Maureen Ow,food,cantonese style congee,cantonese style congee,cantones style conge,0
4,2lhaZp7B,So glad the weekend is here and I can finally take a little breather.,Maureen Ow,food,gen shu glutinous rice,gen shu glutinous rice,gen shu glutin rice,0
5,2lhaZp7B,Wonderful breakfast to start my day!,Benjamin Yeo,food,breakfast porridge,breakfast porridge,breakfast porridg,0
6,333-bak-kut-teh,"Dinner with thy love @desmondodinson at 333 Bak Kut Teh in Balestier last Friday, and those pig intestines were really big and savoury!",Joanne Tan,food,chinesefood food foodart foodinc,chinesefood food foodart foodinc,chinesefood food foodart foodinc,0
7,4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!",Makan Warrior,food,fried chicken,fried chicken,fri chicken,0
8,4-fingers-marina-square,"@4fingerssingapore
Singapore’s revolutionary casual dining brand 4FINGERS amps up the fried chicken dining experience with a brand-new, one-of-a-kind, Tom Yum Pop Crispy Chicken – a delightful explosion of flavours and sensation, courtesy of a sprinkling of popping candy crispies!",Makan Warrior,time,limited time,limited time,limit time,0
9,4-fingers-marina-square,What a sinful way to end the weekend!,Posh Code,food,followed fried chicken wings garlic seasoning seaweed fries,followed fried chicken wing garlic seasoning seaweed fry,follow fri chicken wing garlic season seawe fri,0
