restaurant_code,review_title,review_body,account_name,account_id,aspect,phrase,label,new_aspect_1,new_aspect_2
georges-the-cove,Beer Battered Fish And Chips,"Georges At The Cove has a relaxing ambience, feeling the sea breeze, looking at the sun setting while having our dinner.
—
I ordered the beer batterd fish and chips ($15.90) with fries, salad and their homemade tartar sauce. The fish was very crispy but is quite crumbly when I cut it up. Could not really taste the beer batter but the homemade tartar sauce made up for it. Not of a bad dish but would love to try other dishes on their menu.
—
Their service was average, but will come back for their beautiful sea view and chill vibes.",Tastewithjias Tan,@tastewithjiastan,service,other dishes on their menu,0,food,
georges-the-cove,Beer Battered Fish And Chips,"Georges At The Cove has a relaxing ambience, feeling the sea breeze, looking at the sun setting while having our dinner.
—
I ordered the beer batterd fish and chips ($15.90) with fries, salad and their homemade tartar sauce. The fish was very crispy but is quite crumbly when I cut it up. Could not really taste the beer batter but the homemade tartar sauce made up for it. Not of a bad dish but would love to try other dishes on their menu.
—
Their service was average, but will come back for their beautiful sea view and chill vibes.",Tastewithjias Tan,@tastewithjiastan,service,"was average , but will come back for ",1,ambience,ambience
georges-the-cove,Beer Battered Fish And Chips,"Georges At The Cove has a relaxing ambience, feeling the sea breeze, looking at the sun setting while having our dinner.
—
I ordered the beer batterd fish and chips ($15.90) with fries, salad and their homemade tartar sauce. The fish was very crispy but is quite crumbly when I cut it up. Could not really taste the beer batter but the homemade tartar sauce made up for it. Not of a bad dish but would love to try other dishes on their menu.
—
Their service was average, but will come back for their beautiful sea view and chill vibes.",Tastewithjias Tan,@tastewithjiastan,ambience,at the,0,,
georges-the-cove,Beer Battered Fish And Chips,"Georges At The Cove has a relaxing ambience, feeling the sea breeze, looking at the sun setting while having our dinner.
—
I ordered the beer batterd fish and chips ($15.90) with fries, salad and their homemade tartar sauce. The fish was very crispy but is quite crumbly when I cut it up. Could not really taste the beer batter but the homemade tartar sauce made up for it. Not of a bad dish but would love to try other dishes on their menu.
—
Their service was average, but will come back for their beautiful sea view and chill vibes.",Tastewithjias Tan,@tastewithjiastan,ambience,"relaxing ambience , ",1,ambience,ambience
georges-the-cove,Bolognese ($15.90++) Spaghetti with ground beef in tomato based sauce.,"Pretty typical plate of bolognese and nothing to shout about, but somehow made me feel warm and comforted in my tummy! #food #foodphotography #foodie #burpple #sgfoodies #singapore #foodporn #sgfood #foodsg #sg #sgfoodie #noms #nom #eats #sgeats #burpplesg #spaghetti #bolognese #tomato #italian #pasta",Mel C,@mellybelly,food,# burpplesg,0,,
georges-the-cove,Bolognese ($15.90++) Spaghetti with ground beef in tomato based sauce.,"Pretty typical plate of bolognese and nothing to shout about, but somehow made me feel warm and comforted in my tummy! #food #foodphotography #foodie #burpple #sgfoodies #singapore #foodporn #sgfood #foodsg #sg #sgfoodie #noms #nom #eats #sgeats #burpplesg #spaghetti #bolognese #tomato #italian #pasta",Mel C,@mellybelly,food,spaghetti # bolognese,0,food,
georges-the-cove,Bolognese ($15.90++) Spaghetti with ground beef in tomato based sauce.,"Pretty typical plate of bolognese and nothing to shout about, but somehow made me feel warm and comforted in my tummy! #food #foodphotography #foodie #burpple #sgfoodies #singapore #foodporn #sgfood #foodsg #sg #sgfoodie #noms #nom #eats #sgeats #burpplesg #spaghetti #bolognese #tomato #italian #pasta",Mel C,@mellybelly,food,# italian,0,,
godmama,Babi Pongteh And Popiah,"First time having Peranakan cuisine! Babi pongteh was delicious tho the spices taste can be stronger. Sadly, the popiah was a miss for me😅",Shi Min,@shimintoh,time,having peranakan cuisine,0,food,
godmama,All Star Egg Skin Popiah $6.5,"Sometimes the classics work best, and this more-or-less classic popiah had the perfect balance of softness, crunch and sweetness snuggled up in a silky thin egg crepe skin.
<< Invited Tasting >>
Taste: 3.5/5",Jason Wong,@KFCGod,food,", and ",0,,
godmama,All Star Egg Skin Popiah $6.5,"Sometimes the classics work best, and this more-or-less classic popiah had the perfect balance of softness, crunch and sweetness snuggled up in a silky thin egg crepe skin.
<< Invited Tasting >>
Taste: 3.5/5",Jason Wong,@KFCGod,food,classic popiah had the perfect,1,food,food
