restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,phrase_emoticon_generic,phrase_emoticon_unique,phrase_stem_emoticon_generic,phrase_lemma_emoticon_generic,phrase_stem_emoticon_unique,phrase_lemma_emoticon_unique,label
toa-payoh-rojak-old-aiport-road,Finally get to eat this Rojak @ old airport road food centre!!,Lance Teo,food,eat rojak old airport road food,eat rojak old airport road food,eat rojak old airport road food,eat rojak old airport road food,eat rojak old airport road food,eat rojak old airport road food,eat rojak old airport road food,eat rojak old airport road food,eat rojak old airport road food,0.0
toa-payoh-rojak-old-aiport-road,"Singapore ""Salad"" = Rojak 😉
Toa Payoh Rojak at old airport food centre .......",Lem Cheong,food,toa payoh rojak old airport food centre toapayohrojak,toa payoh rojak old airport food centre toapayohrojak,toa payoh rojak old airport food centr toapayohrojak,toa payoh rojak old airport food centre toapayohrojak,toa payoh rojak old airport food centre toapayohrojak,toa payoh rojak old airport food centr toapayohrojak,toa payoh rojak old airport food centre toapayohrojak,toa payoh rojak old airport food centr toapayohrojak,toa payoh rojak old airport food centre toapayohrojak,0.0
toa-payoh-rojak-old-aiport-road,The Famous Rojak,Jaster Ngui,food,better rojak toa payoh,better rojak toa payoh,better rojak toa payoh,better rojak toa payoh,better rojak toa payoh,better rojak toa payoh,better rojak toa payoh,better rojak toa payoh,better rojak toa payoh,0.0
tok-tok-ann-siang,Fan-fucking-tastic Indonesian grub.,Nobelle Liew,food,hot rice sweet crunchy ridden tempeh tons tasty af components served fucking punchy sambal,hot rice sweet crunchy ridden tempeh ton tasty af component served fucking punchy sambal,hot rice sweet crunchi ridden tempeh ton tasti af compon serv fuck punchi sambal,hot rice sweet crunchy ridden tempeh tons tasty af components served fucking punchy sambal,hot rice sweet crunchy ridden tempeh tons tasty af components served fucking punchy sambal,hot rice sweet crunchi ridden tempeh ton tasti af compon serv fuck punchi sambal,hot rice sweet crunchy ridden tempeh ton tasty af component served fucking punchy sambal,hot rice sweet crunchi ridden tempeh ton tasti af compon serv fuck punchi sambal,hot rice sweet crunchy ridden tempeh ton tasty af component served fucking punchy sambal,1.0
tok-tok-ann-siang,Funny how a trek to coconut club for chendol led us here.,Blueskies Cottonclouds,food,club chendol led tender good flavours legit,club chendol led tender good flavour legit,club chendol led tender good flavour legit,club chendol led tender good flavours legit,club chendol led tender good flavours legit,club chendol led tender good flavour legit,club chendol led tender good flavour legit,club chendol led tender good flavour legit,club chendol led tender good flavour legit,1.0
tok-tok-ann-siang,"[Tok Tok Indonesian Soup House] - For a merry good time, Nasi Tumpeng is the dish to go for.",SG Food On Foot,food,indonesian soup house merry good time nasi tumpeng dish turmeric rice served traditional galangal fried chicken sliced omelette homemade sambal cakes flying pleasing remained got cold good time nasi tumpeng dish,indonesian soup house merry good time nasi tumpeng dish turmeric rice served traditional galangal fried chicken sliced omelette homemade sambal cake flying pleasing remained got cold good time nasi tumpeng dish,indonesian soup hous merri good time nasi tumpeng dish turmer rice serv tradit galang fri chicken slice omelett homemad sambal cake fli pleas remain got cold good time nasi tumpeng dish,indonesian soup house merry good time nasi tumpeng dish turmeric rice served traditional galangal fried chicken sliced omelette homemade sambal cakes flying pleasing remained got cold good time nasi tumpeng dish,indonesian soup house merry good time nasi tumpeng dish turmeric rice served traditional galangal fried chicken sliced omelette homemade sambal cakes flying pleasing remained got cold good time nasi tumpeng dish,indonesian soup hous merri good time nasi tumpeng dish turmer rice serv tradit galang fri chicken slice omelett homemad sambal cake fli pleas remain got cold good time nasi tumpeng dish,indonesian soup house merry good time nasi tumpeng dish turmeric rice served traditional galangal fried chicken sliced omelette homemade sambal cake flying pleasing remained got cold good time nasi tumpeng dish,indonesian soup hous merri good time nasi tumpeng dish turmer rice serv tradit galang fri chicken slice omelett homemad sambal cake fli pleas remain got cold good time nasi tumpeng dish,indonesian soup house merry good time nasi tumpeng dish turmeric rice served traditional galangal fried chicken sliced omelette homemade sambal cake flying pleasing remained got cold good time nasi tumpeng dish,1.0
tok-tok-ann-siang,| 🍛 A Taste of Balinese Rice 。...,Jaden Loh,food,taste balinese rice style beef rendang sambal shredded chicken tossed sweet spicy fried tempeh long bean basted homemade,taste balinese rice style beef rendang sambal shredded chicken tossed sweet spicy fried tempeh long bean basted homemade,tast balines rice style beef rendang sambal shred chicken toss sweet spici fri tempeh long bean bast homemad,taste balinese rice style beef rendang sambal shredded chicken tossed sweet spicy fried tempeh long bean basted homemade,taste balinese rice style beef rendang sambal shredded chicken tossed sweet spicy fried tempeh long bean basted homemade,tast balines rice style beef rendang sambal shred chicken toss sweet spici fri tempeh long bean bast homemad,taste balinese rice style beef rendang sambal shredded chicken tossed sweet spicy fried tempeh long bean basted homemade,tast balines rice style beef rendang sambal shred chicken toss sweet spici fri tempeh long bean bast homemad,taste balinese rice style beef rendang sambal shredded chicken tossed sweet spicy fried tempeh long bean basted homemade,0.0
tok-tok-indonesian-soup-house,Coke Soda Gembira,Thiam Peng Tan,food,condensed milk haha,condensed milk haha,condens milk haha,condensed milk haha,condensed milk haha,condens milk haha,condensed milk haha,condens milk haha,condensed milk haha,0.0
tok-tok-indonesian-soup-house,Mie Ayam Jamur Bakso,Doreen Tan,food,mie ayam jamur bakso mie noodle soup beef ball available toktoksg somerset seasoning looked simple noodles addictive tasty,mie ayam jamur bakso mie noodle soup beef ball available toktoksg somerset seasoning looked simple noodle addictive tasty,mie ayam jamur bakso mie noodl soup beef ball avail toktoksg somerset season look simpl noodl addict tasti,mie ayam jamur bakso mie noodle soup beef ball available toktoksg somerset seasoning looked simple noodles addictive tasty,mie ayam jamur bakso mie noodle soup beef ball available toktoksg somerset seasoning looked simple noodles addictive tasty,mie ayam jamur bakso mie noodl soup beef ball avail toktoksg somerset season look simpl noodl addict tasti,mie ayam jamur bakso mie noodle soup beef ball available toktoksg somerset seasoning looked simple noodle addictive tasty,mie ayam jamur bakso mie noodl soup beef ball avail toktoksg somerset season look simpl noodl addict tasti,mie ayam jamur bakso mie noodle soup beef ball available toktoksg somerset seasoning looked simple noodle addictive tasty,1.0
tok-tok-indonesian-soup-house,Rather Subpar indonesian Food🙄,anita anita,food,ordered oxtail soup rice came not hot wise okok,ordered oxtail soup rice came not hot wise okok,order oxtail soup rice came not hot wise okok,ordered oxtail soup rice came not hot wise okok,ordered oxtail soup rice came not hot wise okok,order oxtail soup rice came not hot wise okok,ordered oxtail soup rice came not hot wise okok,order oxtail soup rice came not hot wise okok,ordered oxtail soup rice came not hot wise okok,-1.0
tok-tok-indonesian-soup-house,Sop Buntut $9.50,Daisy S.,food,served rice,served rice,serv rice,served rice,served rice,serv rice,served rice,serv rice,served rice,0.0
tok-tok-indonesian-soup-house,Sop Buntut $9.50,Daisy S.,portion,kinda small,kinda small,kinda small,kinda small,kinda small,kinda small,kinda small,kinda small,kinda small,0.0
tokyo-milk-cheese-factory-jewel-changi-airport,Cow Cow Sundae,celeste foo,food,mix milk cheese flavour rich ice cream cheesecake camembert cracker,mix milk cheese flavour rich ice cream cheesecake camembert cracker,mix milk chees flavour rich ice cream cheesecak camembert cracker,mix milk cheese flavour rich ice cream cheesecake camembert cracker,mix milk cheese flavour rich ice cream cheesecake camembert cracker,mix milk chees flavour rich ice cream cheesecak camembert cracker,mix milk cheese flavour rich ice cream cheesecake camembert cracker,mix milk chees flavour rich ice cream cheesecak camembert cracker,mix milk cheese flavour rich ice cream cheesecake camembert cracker,0.0
tokyo-milk-cheese-factory-jewel-changi-airport,Cow Cow Sundae,celeste foo,portion,belittle small size best,belittle small size best,belittl small size best,belittle small size best,belittle small size best,belittl small size best,belittle small size best,belittl small size best,belittle small size best,0.0
tokyo-milk-cheese-factory-jewel-changi-airport,Cow Cow Sundae,celeste foo,price,worth single penny,worth single penny,worth singl penni,worth single penny,worth single penny,worth singl penni,worth single penny,worth singl penni,worth single penny,1.0
tokyo-milk-cheese-factory-jewel-changi-airport,Cow Cow Sundae ($8.80),Brenna Tan,food,got twist milk cheese paired sundae,got twist milk cheese paired sundae,got twist milk chees pair sunda,got twist milk cheese paired sundae,got twist milk cheese paired sundae,got twist milk chees pair sunda,got twist milk cheese paired sundae,got twist milk chees pair sunda,got twist milk cheese paired sundae,0.0
tokyo-milk-cheese-factory-jewel-changi-airport,Cow cow sundae,Alexandra Perera,food,soft serve ice cream topped cheesecake cheesy topped cheesecake cheesy,soft serve ice cream topped cheesecake cheesy topped cheesecake cheesy,soft serv ice cream top cheesecak cheesi top cheesecak cheesi,soft serve ice cream topped cheesecake cheesy topped cheesecake cheesy,soft serve ice cream topped cheesecake cheesy topped cheesecake cheesy,soft serv ice cream top cheesecak cheesi top cheesecak cheesi,soft serve ice cream topped cheesecake cheesy topped cheesecake cheesy,soft serv ice cream top cheesecak cheesi top cheesecak cheesi,soft serve ice cream topped cheesecake cheesy topped cheesecake cheesy,0.0
tomisushi,Great Value Japanese Lunch,Hungry Ghost,ambience,great place looking,great place looking,great place look,great place looking,great place looking,great place look,great place looking,great place look,great place looking,1.0
tomisushi,Great Value Japanese Lunch,Hungry Ghost,food,japanese lunchtomi sushi great place looking,japanese lunchtomi sushi great place looking,japanes lunchtomi sushi great place look,japanese lunchtomi sushi great place looking,japanese lunchtomi sushi great place looking,japanes lunchtomi sushi great place look,japanese lunchtomi sushi great place looking,japanes lunchtomi sushi great place look,japanese lunchtomi sushi great place looking,0.0
tomisushi,Maguro for lunch today.,Melvin Chen,food,noms,noms,nom,noms,noms,nom,noms,nom,noms,1.0
tomisushi,Slow Cooked Fish Skin With Yuzu,SdS -,food,cooked fish skin,cooked fish skin,cook fish skin,cooked fish skin,cooked fish skin,cook fish skin,cooked fish skin,cook fish skin,cooked fish skin,0.0
tomisushi,"the sushi said to the maki, ""udon know how much you mean to me; you're my soy mate!""",Darrick Leow,food,said maki udon know mean soy mate,said maki udon know mean soy mate,said maki udon know mean soy mate,said maki udon know mean soy mate,said maki udon know mean soy mate,said maki udon know mean soy mate,said maki udon know mean soy mate,said maki udon know mean soy mate,said maki udon know mean soy mate,0.0
top-33-kopitiam,Bak Chor Mee With Scallops,Poh Peng Ric,food,legendary sungei road laksa new cool selling noodles different add ons small serving scallops minced pork instead okay mushrooms good pretty average,legendary sungei road laksa new cool selling noodle different add ons small serving scallop minced pork instead okay mushroom good pretty average,legendari sungei road laksa new cool sell noodl differ add on small serv scallop minc pork instead okay mushroom good pretti averag,legendary sungei road laksa new cool selling noodles different add ons small serving scallops minced pork instead okay mushrooms good pretty average,legendary sungei road laksa new cool selling noodles different add ons small serving scallops minced pork instead okay mushrooms good pretty average,legendari sungei road laksa new cool sell noodl differ add on small serv scallop minc pork instead okay mushroom good pretti averag,legendary sungei road laksa new cool selling noodle different add ons small serving scallop minced pork instead okay mushroom good pretty average,legendari sungei road laksa new cool sell noodl differ add on small serv scallop minc pork instead okay mushroom good pretti averag,legendary sungei road laksa new cool selling noodle different add ons small serving scallop minced pork instead okay mushroom good pretty average,1.0
top-33-kopitiam,Bak Chor Mee With Scallops,Poh Peng Ric,portion,comes small serving scallops felt,come small serving scallop felt,come small serv scallop felt,comes small serving scallops felt,comes small serving scallops felt,come small serv scallop felt,come small serving scallop felt,come small serv scallop felt,come small serving scallop felt,-1.0
top-33-kopitiam,Cooked in a rustic aluminum pot over charcoal - my favorite laksa in town for only $2!,Feline Lim,food,favorite laksa town,favorite laksa town,favorit laksa town,favorite laksa town,favorite laksa town,favorit laksa town,favorite laksa town,favorit laksa town,favorite laksa town,1.0
top-33-kopitiam,Specialty Mushroom Mince Meat Noodles' All-in-1 Meepok ($6),Veronica Phua,food,meepok tried bowl famous sungei road laksa stewed pig trotter braised chicken feet intestines mini fishcake minced pork tasted good thanks chilli sambal black vinegar,meepok tried bowl famous sungei road laksa stewed pig trotter braised chicken foot intestine mini fishcake minced pork tasted good thanks chilli sambal black vinegar,meepok tri bowl famou sungei road laksa stew pig trotter brais chicken feet intestin mini fishcak minc pork tast good thank chilli sambal black vinegar,meepok tried bowl famous sungei road laksa stewed pig trotter braised chicken feet intestines mini fishcake minced pork tasted good thanks chilli sambal black vinegar,meepok tried bowl famous sungei road laksa stewed pig trotter braised chicken feet intestines mini fishcake minced pork tasted good thanks chilli sambal black vinegar,meepok tri bowl famou sungei road laksa stew pig trotter brais chicken feet intestin mini fishcak minc pork tast good thank chilli sambal black vinegar,meepok tried bowl famous sungei road laksa stewed pig trotter braised chicken foot intestine mini fishcake minced pork tasted good thanks chilli sambal black vinegar,meepok tri bowl famou sungei road laksa stew pig trotter brais chicken feet intestin mini fishcak minc pork tast good thank chilli sambal black vinegar,meepok tried bowl famous sungei road laksa stewed pig trotter braised chicken foot intestine mini fishcake minced pork tasted good thanks chilli sambal black vinegar,1.0
top-33-kopitiam,Sungei Road Laksa,Daniel Hum,food,good taste laksa strong coconut milk keeping delightful,good taste laksa strong coconut milk keeping delightful,good tast laksa strong coconut milk keep delight,good taste laksa strong coconut milk keeping delightful,good taste laksa strong coconut milk keeping delightful,good tast laksa strong coconut milk keep delight,good taste laksa strong coconut milk keeping delightful,good tast laksa strong coconut milk keep delight,good taste laksa strong coconut milk keeping delightful,1.0
top-33-kopitiam,雙味糯米飯 Glutinous Rice,Steve G,food,glutinous ricelove onion fried chilli paste comes,glutinous ricelove onion fried chilli paste come,glutin ricelov onion fri chilli past come,glutinous ricelove onion fried chilli paste comes,glutinous ricelove onion fried chilli paste comes,glutin ricelov onion fri chilli past come,glutinous ricelove onion fried chilli paste come,glutin ricelov onion fri chilli past come,glutinous ricelove onion fried chilli paste come,1.0
top-deck,Coffee and love are best when they are hot.,Randy Lim,food,love best,love best,love best,love best,love best,love best,love best,love best,love best,1.0
top-deck,Sister cafe of habitat coffee and i must say I love the decor of the place!,Zippy Lee,ambience,love decor,love decor,love decor,love decor,love decor,love decor,love decor,love decor,love decor,1.0
top-deck,Sister cafe of habitat coffee and i must say I love the decor of the place!,Zippy Lee,food,habitat coffee,habitat coffee,habitat coffe,habitat coffee,habitat coffee,habitat coffe,habitat coffee,habitat coffe,habitat coffee,0.0
trunk-bar-bistro,Mutton Dum Briyani,Rule Of Thumb,food,average briyani meat tender flavored tad dry not best tender flavored,average briyani meat tender flavored tad dry not best tender flavored,averag briyani meat tender flavor tad dri not best tender flavor,average briyani meat tender flavored tad dry not best tender flavored,average briyani meat tender flavored tad dry not best tender flavored,averag briyani meat tender flavor tad dri not best tender flavor,average briyani meat tender flavored tad dry not best tender flavored,averag briyani meat tender flavor tad dri not best tender flavor,average briyani meat tender flavored tad dry not best tender flavored,0.0
trunk-bar-bistro,Mutton Dum Briyani,Rule Of Thumb,portion,larger size,larger size,larger size,larger size,larger size,larger size,larger size,larger size,larger size,1.0
trunk-bar-bistro,Mutton Dum Briyani,Rule Of Thumb,price,suitable sharing,suitable sharing,suitabl share,suitable sharing,suitable sharing,suitabl share,suitable sharing,suitabl share,suitable sharing,1.0
tunglok-heen-rws,Quite expensive,Zhi Yan Chiam,ambience,place,place,place,place,place,place,place,place,place,0.0
tunglok-heen-rws,Quite expensive,Zhi Yan Chiam,food,expensivetaste steam fish,expensivetaste steam fish,expensivetast steam fish,expensivetaste steam fish,expensivetaste steam fish,expensivetast steam fish,expensivetaste steam fish,expensivetast steam fish,expensivetaste steam fish,0.0
tunglok-heen-rws,Quite expensive,Zhi Yan Chiam,time,crowded lunch dinner time,crowded lunch dinner time,crowd lunch dinner time,crowded lunch dinner time,crowded lunch dinner time,crowd lunch dinner time,crowded lunch dinner time,crowd lunch dinner time,crowded lunch dinner time,0.0
tunglok-heen-rws,"Steamed Foie Grad, Duck Marinated With 'char Siew' Sauce & Crispy Bean Yes, Served With Homemade Pita Bread",Bonita Wijaya,food,marinated char siew sauce crispy bean yes served homemade pita breadnan,marinated char siew sauce crispy bean yes served homemade pita breadnan,marin char siew sauc crispi bean ye serv homemad pita breadnan,marinated char siew sauce crispy bean yes served homemade pita breadnan,marinated char siew sauce crispy bean yes served homemade pita breadnan,marin char siew sauc crispi bean ye serv homemad pita breadnan,marinated char siew sauce crispy bean yes served homemade pita breadnan,marin char siew sauc crispi bean ye serv homemad pita breadnan,marinated char siew sauce crispy bean yes served homemade pita breadnan,0.0
tunglok-heen-rws,Wok Fried Seafood Rice With Bacon,Bonita Wijaya,food,fried seafood rice,fried seafood rice,fri seafood rice,fried seafood rice,fried seafood rice,fri seafood rice,fried seafood rice,fri seafood rice,fried seafood rice,0.0
twelve-cupcakes-compass-one,Milk Chocolate Cookie,Thiam Peng Tan,food,cookiebig not bad similar subway cupcake way,cookiebig not bad similar subway cupcake way,cookiebig not bad similar subway cupcak way,cookiebig not bad similar subway cupcake way,cookiebig not bad similar subway cupcake way,cookiebig not bad similar subway cupcak way,cookiebig not bad similar subway cupcake way,cookiebig not bad similar subway cupcak way,cookiebig not bad similar subway cupcake way,1.0
twelve-cupcakes-compass-one,Red Velvet Cookie,Thiam Peng Tan,food,similar subway cupcake way,similar subway cupcake way,similar subway cupcak way,similar subway cupcake way,similar subway cupcake way,similar subway cupcak way,similar subway cupcake way,similar subway cupcak way,similar subway cupcake way,0.0
verve-pizza-bar,Caesar Salad With Grilled Chicken,Ah Leong San,food,grilled chickenit good meal,grilled chickenit good meal,grill chickenit good meal,grilled chickenit good meal,grilled chickenit good meal,grill chickenit good meal,grilled chickenit good meal,grill chickenit good meal,grilled chickenit good meal,1.0
verve-pizza-bar,Chili Crab Pasta that tasted like pasta tossed in ketchup! So much for fusion ... #livetoeat #food #foodie #foodporn #foodstagram #sgfood #sgfoodie #instafood #pasta #igsg #chili #crab #fusion,Gavin Chan,food,chili crab pasta tasted like tossed ketchup fusion,chili crab pasta tasted like tossed ketchup fusion,chili crab pasta tast like toss ketchup fusion,chili crab pasta tasted like tossed ketchup fusion,chili crab pasta tasted like tossed ketchup fusion,chili crab pasta tast like toss ketchup fusion,chili crab pasta tasted like tossed ketchup fusion,chili crab pasta tast like toss ketchup fusion,chili crab pasta tasted like tossed ketchup fusion,0.0
verve-pizza-bar,Outdoor Dinning Pizza Pasta,Aaron Sze,ambience,fully non air condition not serve tap water,fully non air condition not serve tap water,fulli non air condit not serv tap water,fully non air condition not serve tap water,fully non air condition not serve tap water,fulli non air condit not serv tap water,fully non air condition not serve tap water,fulli non air condit not serv tap water,fully non air condition not serve tap water,0.0
verve-pizza-bar,Outdoor Dinning Pizza Pasta,Aaron Sze,food,dinning pizza pastawe confit duck verve special pizza picture decent better expected cream based serve tap water,dinning pizza pastawe confit duck verve special pizza picture decent better expected cream based serve tap water,din pizza pastaw confit duck verv special pizza pictur decent better expect cream base serv tap water,dinning pizza pastawe confit duck verve special pizza picture decent better expected cream based serve tap water,dinning pizza pastawe confit duck verve special pizza picture decent better expected cream based serve tap water,din pizza pastaw confit duck verv special pizza pictur decent better expect cream base serv tap water,dinning pizza pastawe confit duck verve special pizza picture decent better expected cream based serve tap water,din pizza pastaw confit duck verv special pizza pictur decent better expect cream base serv tap water,dinning pizza pastawe confit duck verve special pizza picture decent better expected cream based serve tap water,1.0
verve-pizza-bar,Outdoor Dinning Pizza Pasta,Aaron Sze,service,decent,decent,decent,decent,decent,decent,decent,decent,decent,1.0
verve-pizza-bar,Pesto Pizza,Victoria Hii,food,crust disappointing little confused added bbq chicken,crust disappointing little confused added bbq chicken,crust disappoint littl confus ad bbq chicken,crust disappointing little confused added bbq chicken,crust disappointing little confused added bbq chicken,crust disappoint littl confus ad bbq chicken,crust disappointing little confused added bbq chicken,crust disappoint littl confus ad bbq chicken,crust disappointing little confused added bbq chicken,-1.0
